RID,이름,주소,전화번호,메뉴,영업시간
fq1dn6zf7otW,벨 구스토,"서울특별시 금천구 시흥대로 315 롯데캐슬골드파크타워960 201호 지번
지도보기",0507-1413-1178,"빠네: 19,000원
로제 봉골레: 19,000원
바질 페스토 감베로니: 19,000원
페스카토레: 23,000원
알리오 에 올리오: 16,000원
마르게리타: 17,000원
고르곤졸라: 20,000원
세이 포르마쥐: 20,000원
비스테카: 17,000원
만치아 인살라떼: 16,000원
빠네: 19,000원
로제 봉골레: 19,000원
바질 페스토 감베로니: 19,000원
페스카토레: 23,000원
알리오 에 올리오: 16,000원
마르게리타: 17,000원
고르곤졸라: 20,000원
세이 포르마쥐: 20,000원
비스테카: 17,000원
만치아 인살라떼: 16,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
zWaKudlYURSl,미태리 가산한라원앤원점,"서울특별시 금천구 가산디지털2로 101 1층 126호 지번
지도보기",02-2101-2098,"올데이세트: 31,800원
감바스 파스타: 10,500원
토마토 파스타: 6,800원
베이컨 토마토 파스타: 9,500원
해물 토마토 파스타: 10,500원
알리오 올리오: 8,300원
양송이 까르보나라: 8,800원
매운 까르보나라: 9,500원
이태리 로제 파스타: 9,500원
미태리 치즈 피자: 10,500원
미태리 고르곤졸라 피자: 10,800원
토마토 치즈 리조또: 10,500원
로제 맵제 파스타: 12,500원
크림 치즈 리조또: 10,500원
킹소시지 김치 볶음밥: 10,500원
소불고기 필라프: 9,500원
미태리 가든 샐러드: 5,900원
버터 갈릭 감자튀김: 4,000원
해쉬브라운 1pcs: 1,500원
멘보샤 5pcs: 5,000원
텐더스틱 3pcs: 4,500원
킹소시지 1pcs: 2,500원
에이드: 4,500원
시그니처 큐브 스테이크: 23,000원
해물 짬뽕 파스타: 9,500원
봉골레 파스타: 8,800원
베이컨 까르보나라: 9,500원
이태리 정통 빠네: 11,800원
미태리 페퍼로니 피자: 10,800원
미태리 갈릭 포테이토 피자: 12,800원
올데이세트: 31,800원
감바스 파스타: 10,500원
토마토 파스타: 6,800원
베이컨 토마토 파스타: 9,500원
해물 토마토 파스타: 10,500원
알리오 올리오: 8,300원
양송이 까르보나라: 8,800원
매운 까르보나라: 9,500원
이태리 로제 파스타: 9,500원
미태리 치즈 피자: 10,500원
미태리 고르곤졸라 피자: 10,800원
토마토 치즈 리조또: 10,500원
로제 맵제 파스타: 12,500원
크림 치즈 리조또: 10,500원
킹소시지 김치 볶음밥: 10,500원
소불고기 필라프: 9,500원
미태리 가든 샐러드: 5,900원
버터 갈릭 감자튀김: 4,000원
해쉬브라운 1pcs: 1,500원
멘보샤 5pcs: 5,000원
텐더스틱 3pcs: 4,500원
킹소시지 1pcs: 2,500원
에이드: 4,500원
시그니처 큐브 스테이크: 23,000원
해물 짬뽕 파스타: 9,500원
봉골레 파스타: 8,800원
베이컨 까르보나라: 9,500원
이태리 정통 빠네: 11,800원
미태리 페퍼로니 피자: 10,800원
미태리 갈릭 포테이토 피자: 12,800원","{
    ""월"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
n6NmprOY8fHh,마드레파스타,"서울특별시 금천구 시흥대로 399 시티렉스 지번
지도보기",02-892-9298,"쉬림프리조또: 11,000원
봉골레 파스타: 10,300원
고르곤졸라: 11,900원
채끝 로제 리조또: 12,500원
차돌박이샐러드: 9,500원
버섯샐러드: 8,900원
루꼴라 새송이 샐러드: 9,000원
새우 토마토파스타: 11,000원
버섯 크림파스타: 10,500원
베이컨 토마토파스타: 10,500원
조개 오일 파스타: 9,900원
마늘 오일 파스타: 9,000원
씨푸드리조또: 11,500원
블랙올리브파스타(오일소스): 11,500원
살시차 파스타(훈제소시지 크림소스): 11,000원
포르마죠 파스타(4가지치즈 크림소스): 11,000원
감베로 로제 파스타(새우 로제소스): 11,500원
고르곤졸라 파스타(고르곤치즈 크림소스): 11,500원
까르보나라(베이컨 크림소스): 11,000원
페스카토레 파스타(해물 크림소스): 11,500원
풍기파스타(버섯 크림소스): 10,500원
지아디니 파스타(야채 토마토소스): 10,500원
마레파스타(해물 토마토소스): 11,500원
풍기 파스타: 9,800원
뽀모도로 파스타(모짜렐라 토마토소스): 9,900원
감베로파스타(새우 토마토소스): 11,000원
베르나 파스타(해물 오일소스): 11,500원
루꼴라 파스타(새우 오일소스): 11,500원
채끝 스테이크(180g) ㅡ기본미디엄ㅡ변경가능: 24,500원
봉골레리조또(오일소스): 9,900원
씨푸드 리조또(해물 토마토소스): 11,500원
쉬림프 리조또(새우 토마토소스): 11,000원
머쉬룸 리조또(버섯 크림소스): 10,500원
환타파인애플355ml: 2,000원
페스카토레 파스타: 11,500원
칠성사이다355ml: 2,000원
코카콜라355ml: 2,000원
마르게르타: 12,000원
고르곤졸라피자: 12,500원
콰트로피자ㅡ모듬치즈피자: 13,500원
루꼴라피자: 12,500원
새우피자: 12,500원
페퍼로니피자: 12,000원
까르보나라: 11,000원
감베로 로제 파스타: 11,500원
포르마죠: 11,500원
마르게리따 피자: 11,500원
루꼴라 피자: 11,900원
쉬림프리조또: 11,000원
봉골레 파스타: 10,300원
고르곤졸라: 11,900원
채끝 로제 리조또: 12,500원
차돌박이샐러드: 9,500원
버섯샐러드: 8,900원
루꼴라 새송이 샐러드: 9,000원
새우 토마토파스타: 11,000원
버섯 크림파스타: 10,500원
베이컨 토마토파스타: 10,500원
조개 오일 파스타: 9,900원
마늘 오일 파스타: 9,000원
씨푸드리조또: 11,500원
블랙올리브파스타(오일소스): 11,500원
살시차 파스타(훈제소시지 크림소스): 11,000원
포르마죠 파스타(4가지치즈 크림소스): 11,000원
감베로 로제 파스타(새우 로제소스): 11,500원
고르곤졸라 파스타(고르곤치즈 크림소스): 11,500원
까르보나라(베이컨 크림소스): 11,000원
페스카토레 파스타(해물 크림소스): 11,500원
풍기파스타(버섯 크림소스): 10,500원
지아디니 파스타(야채 토마토소스): 10,500원
마레파스타(해물 토마토소스): 11,500원
풍기 파스타: 9,800원
뽀모도로 파스타(모짜렐라 토마토소스): 9,900원
감베로파스타(새우 토마토소스): 11,000원
베르나 파스타(해물 오일소스): 11,500원
루꼴라 파스타(새우 오일소스): 11,500원
채끝 스테이크(180g) ㅡ기본미디엄ㅡ변경가능: 24,500원
봉골레리조또(오일소스): 9,900원
씨푸드 리조또(해물 토마토소스): 11,500원
쉬림프 리조또(새우 토마토소스): 11,000원
머쉬룸 리조또(버섯 크림소스): 10,500원
환타파인애플355ml: 2,000원
페스카토레 파스타: 11,500원
칠성사이다355ml: 2,000원
코카콜라355ml: 2,000원
마르게르타: 12,000원
고르곤졸라피자: 12,500원
콰트로피자ㅡ모듬치즈피자: 13,500원
루꼴라피자: 12,500원
새우피자: 12,500원
페퍼로니피자: 12,000원
까르보나라: 11,000원
감베로 로제 파스타: 11,500원
포르마죠: 11,500원
마르게리따 피자: 11,500원
루꼴라 피자: 11,900원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
geBDW1q4BSa4,해식달주,"서울특별시 금천구 가산디지털1로 168 A동 209호 지번
지도보기",02-863-0869,"순살 갈비찜: 9,000원
수제 로제 돈가스: 14,500원
흑임자 빠네: 16,200원
페퍼로니 피자: 16,900원
고르곤졸라 피자: 16,900원
레드와인, 바론 드 세낙: 22,000원
화이트 와인, 레이트 하비스트: 32,800원
스파클링 와인, 루나 모스카토: 24,000원
얼그레이 하이볼: 8,000원
엑스밤: 8,000원
피치트리 레몬: 7,000원
얼큰홍합라면: 7,900원
순살갈비찜: 9,000원
쉬림프 토마토 파스타: 14,500원
샐러드파스타: 14,200원
제육볶음: 8,500원
소고기카레: 9,500원
라면 무료제공: 0원
와인삼겹&볶음김치: 24,000원
순살 닭볶음탕: 8,500원
쉬림프 로제 그라탕: 14,500원
쉬림프 로제 파스타: 14,500원
빠네: 16,300원
순살 갈비찜: 9,000원
수제 로제 돈가스: 14,500원
흑임자 빠네: 16,200원
페퍼로니 피자: 16,900원
고르곤졸라 피자: 16,900원
레드와인, 바론 드 세낙: 22,000원
화이트 와인, 레이트 하비스트: 32,800원
스파클링 와인, 루나 모스카토: 24,000원
얼그레이 하이볼: 8,000원
엑스밤: 8,000원
피치트리 레몬: 7,000원
얼큰홍합라면: 7,900원
순살갈비찜: 9,000원
쉬림프 토마토 파스타: 14,500원
샐러드파스타: 14,200원
제육볶음: 8,500원
소고기카레: 9,500원
라면 무료제공: 0원
와인삼겹&볶음김치: 24,000원
순살 닭볶음탕: 8,500원
쉬림프 로제 그라탕: 14,500원
쉬림프 로제 파스타: 14,500원
빠네: 16,300원","{
    ""월"": {
        ""영업시간"": ""17:00 - 23:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)17:00 - 23:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:30""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""17:00 - 23:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:30""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 23:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:30""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
kplpdRTlDHYI,민소푸,"서울특별시 금천구 가산디지털2로 166 1층 지번
지도보기",0507-1333-7371,"카이센동: 16,000원
마구로 후토마끼: 11,000원
새우 & 아나고 튀김: 19,000원
우나기동: 38,000원
바지락 탕: 20,000원
화로 치즈 카니미소: 9,000원
레몬생크림 토마토츠케모노: 6,000원
우니 카이센동: 23,000원
부타노가쿠니동: 9,000원
칠리가라아게동: 9,000원
사케동: 15,000원
들기름 연어알 소바: 12,000원
우니 동: 37,000원
우니삼합: 36,000원
홍게살내장크림파스타: 19,000원
카이센동: 16,000원
마구로 후토마끼: 11,000원
새우 & 아나고 튀김: 19,000원
우나기동: 38,000원
바지락 탕: 20,000원
화로 치즈 카니미소: 9,000원
레몬생크림 토마토츠케모노: 6,000원
우니 카이센동: 23,000원
부타노가쿠니동: 9,000원
칠리가라아게동: 9,000원
사케동: 15,000원
들기름 연어알 소바: 12,000원
우니 동: 37,000원
우니삼합: 36,000원
홍게살내장크림파스타: 19,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
WZVKCd9zr0UQ,세라즈피자펍,"서울특별시 금천구 가산디지털1로 168 A동 2층 222호 지번
지도보기",0507-1379-0415,"피자 13인치: 22,900원
피자 18인치: 35,000원
레드소스 세라즈피자(13인치): 23900~36000
레드소스 스파이시러버스(13인치): 23500~35000
레드소스 하와이안 피자: 23500~36000
레드소스 슈림프수프림: 23900~36000
파스타: 12,500원
국내 수제맥주: 7,000원
소주: 5,000원
Coke: 3,000원
와인: 7,000원
레드소스 고기러버스(13인치): 23900~36000
레드소스 수프림(13인치): 23500~36000
레드소스 페퍼로니(13인치): 23500~35000
피자 13인치: 22,900원
피자 18인치: 35,000원
레드소스 세라즈피자(13인치): 23900~36000
레드소스 스파이시러버스(13인치): 23500~35000
레드소스 하와이안 피자: 23500~36000
레드소스 슈림프수프림: 23900~36000
파스타: 12,500원
국내 수제맥주: 7,000원
소주: 5,000원
Coke: 3,000원
와인: 7,000원
레드소스 고기러버스(13인치): 23900~36000
레드소스 수프림(13인치): 23500~36000
레드소스 페퍼로니(13인치): 23500~35000","{
    ""월"": {
        ""영업시간"": ""11:30 - 00:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""22:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:30 - 00:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""22:30""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""11:30 - 00:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""22:30""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 00:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""22:30""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
3XD2sAUETBLZ,더제이케이키친박스 가산디지털점,"서울특별시 금천구 가산디지털1로 145 에이스하이엔드타워3 1층 111호 지번
지도보기",0507-1419-0041,"파스타: 10900~21800
빠네 파스타: 13900~16900
라이스: 9900~14900
피자: 12900~18900
샐러드: 9900~12900
파스타: 10900~21800
빠네 파스타: 13900~16900
라이스: 9900~14900
피자: 12900~18900
샐러드: 9900~12900","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:15""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:15""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:15""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:15""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""19:15""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
ptpqP8HgtAE4,불불,"서울특별시 금천구 범안로 1240 jj빌딩 101호 (비밀번호 8204샵) 지번
지도보기",0507-1342-5057,"새우 크로켓과 타르타르: 14,500원
토마토 미트 리가토니: 17,000원
Natural Glass: 
사워도우 빵과 솔트 허니버터: 6,000원
쁘띠 버터 곶감: 8,000원
매콤 국물 떡볶이: 9,000원
Conventional Wine: 
프렌치 뇨끼: 18,500원
태국식 편육샐러드: 13,500원
Natural wine: 
멜팅 고구마튀김: 9,000원
작은 루돌프군 (미니 호빵): 5,000원
샤퀴테리: 13,000원
딸기와 사워크림: 12,500원
콩테 치즈: 9,000원
새우 크로켓과 타르타르: 14,500원
토마토 미트 리가토니: 17,000원
Natural Glass: 
사워도우 빵과 솔트 허니버터: 6,000원
쁘띠 버터 곶감: 8,000원
매콤 국물 떡볶이: 9,000원
Conventional Wine: 
프렌치 뇨끼: 18,500원
태국식 편육샐러드: 13,500원
Natural wine: 
멜팅 고구마튀김: 9,000원
작은 루돌프군 (미니 호빵): 5,000원
샤퀴테리: 13,000원
딸기와 사워크림: 12,500원
콩테 치즈: 9,000원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""18:00 - 00:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""23:00""
    },
    ""금"": {
        ""영업시간"": ""18:00 - 00:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""23:00""
    },
    ""토"": {
        ""영업시간"": ""18:00 - 00:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""23:00""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
UWkyMxN4kkIp,영향,"서울특별시 금천구 남부순환로108길 7 1층 지번
지도보기",0507-1358-7653,"살치살스테이크: 33,900원
명란할라피뇨: 15,800원
치킨라자냐: 17,000원
단호박뇨끼: 16,000원
치미추리파스타: 15,800원
리코타 샐러드: 10,900원
살치살스테이크: 33,900원
명란할라피뇨: 15,800원
치킨라자냐: 17,000원
단호박뇨끼: 16,000원
치미추리파스타: 15,800원
리코타 샐러드: 10,900원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:30 - 22:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""12:00 - 22:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""12:00 - 22:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
iUx1jXQK4qwy,플러버,"서울특별시 금천구 시흥대로 291 롯데캐슬골드파크3차 WEST동 208호 지번
지도보기",0507-1330-1417,"핑키게살 로제스파게티: 12,000원
와규 스테이크: 24,000원
바질페스토파스타: 12,500원
투움바 파스타: 12,000원
목살큐브스테이크 김치볶음밥: 9,000원
상하이 파스타: 12,500원
머쉬룸까르보나라 크림파스타: 10,500원
알리오올리오: 9,000원
해물 치즈떡볶이: 11,500원
명란 치즈 오믈렛: 9,000원
와규찹스테이크: 22,000원
하우스와인: 5,000원
뽀모도로 파스타: 9,000원
아메리카노: 2,500원
꽈리불고기 오므라이스: 9,000원
베이컨쉬림프 리가토니 파스타: 12,500원
봉골레 파스타: 13,500원
명란크림파스타: 10,500원
먹물 해산물 빠에야: 12,000원
트러플오일 전복 리조토: 16,000원
안창스테이크 크림 파스타: 15,500원
핑키게살 로제스파게티: 12,000원
와규 스테이크: 24,000원
바질페스토파스타: 12,500원
투움바 파스타: 12,000원
목살큐브스테이크 김치볶음밥: 9,000원
상하이 파스타: 12,500원
머쉬룸까르보나라 크림파스타: 10,500원
알리오올리오: 9,000원
해물 치즈떡볶이: 11,500원
명란 치즈 오믈렛: 9,000원
와규찹스테이크: 22,000원
하우스와인: 5,000원
뽀모도로 파스타: 9,000원
아메리카노: 2,500원
꽈리불고기 오므라이스: 9,000원
베이컨쉬림프 리가토니 파스타: 12,500원
봉골레 파스타: 13,500원
명란크림파스타: 10,500원
먹물 해산물 빠에야: 12,000원
트러플오일 전복 리조토: 16,000원
안창스테이크 크림 파스타: 15,500원","{
    ""월"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)10:40 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""목"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""일"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    }
}"
