이름,주소,전화번호,메뉴,영업시간
김사부 샤브샤브,"서울특별시 금천구 가산로 132 지번
지도보기",010-5811-0412,"무한리필샤브: 15,000원
탕수육: 15,000원
어향육슬: 15,000원
마라면: 7,000원
짜장면: 7,000원
볶음면: 7,000원
양념면: 7,000원
마파두부덮밥: 7,000원
갈비덮밥: 8,000원
고기덮밥: 8,000원
소고기국밥: 8,000원
수제 물만두: 10,000원
수제 왕만두: 10,000원
마라상궈: 10,000원
마라탕: 10,000원
가지만두튀김: 15,000원
무한리필샤브: 15,000원
탕수육: 15,000원
어향육슬: 15,000원
마라면: 7,000원
짜장면: 7,000원
볶음면: 7,000원
양념면: 7,000원
마파두부덮밥: 7,000원
갈비덮밥: 8,000원
고기덮밥: 8,000원
소고기국밥: 8,000원
수제 물만두: 10,000원
수제 왕만두: 10,000원
마라상궈: 10,000원
마라탕: 10,000원
가지만두튀김: 15,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
홍콩반점0410,"서울특별시 금천구 금하로 635 지상1층 지번
지도보기",0507-1392-0410,"짜장면: 6,500원
고추짜장: 8,000원
고기짜장: 8,500원
짬뽕: 7,800원
고추짬뽕: 8,900원
고기짬뽕: 9,500원
쟁반짜장(2인): 16,000원
짬뽕밥(맛보기면+밥): 7,800원
짜장밥: 8,500원
고추짬뽕밥: 8,900원
고기짬뽕밥: 9,500원
탕수육(소_2인): 16,800원
탕수육(중_3인): 18,800원
탕수육(대_4인): 22,800원
멘보샤(5개): 9,900원
군만두(8개): 6,000원
연유꽃빵(5개): 4,500원
단팥춘권(10개): 3,000원
짜장소스 1통 (350g): 3,500원
짜장면: 6,500원
고추짜장: 8,000원
고기짜장: 8,500원
짬뽕: 7,800원
고추짬뽕: 8,900원
고기짬뽕: 9,500원
쟁반짜장(2인): 16,000원
짬뽕밥(맛보기면+밥): 7,800원
짜장밥: 8,500원
고추짬뽕밥: 8,900원
고기짬뽕밥: 9,500원
탕수육(소_2인): 16,800원
탕수육(중_3인): 18,800원
탕수육(대_4인): 22,800원
멘보샤(5개): 9,900원
군만두(8개): 6,000원
연유꽃빵(5개): 4,500원
단팥춘권(10개): 3,000원
짜장소스 1통 (350g): 3,500원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    }
}"
고구려짬뽕10101,"서울특별시 금천구 시흥대로52길 7 지번
지도보기",02-892-2880,"옛날짜장: 7,000원
옛날짬뽕: 9,000원
불짬뽕: 9,000원
삼선짬뽕: 11,000원
쟁반짬뽕: 20,000원
미니탕수육: 11,000원
찹쌀탕수육(소): 19,000원
찹쌀탕수육(중): 24,000원
찹쌀탕수육(대): 29,000원
차돌짬뽕: 12,000원
양장피: 24,000원
팔보채: 24,000원
칠리새우: 24,000원
깐풍새우: 24,000원
크림새우: 24,000원
삼선불짬뽕: 11,000원
차돌불짬뽕: 12,000원
쟁반짜장 2인: 20,000원
짬뽕밥: 9,000원
볶음밥: 9,000원
삼선짬뽕밥: 11,000원
차돌짬뽕밥: 12,000원
삼선불짬뽕밥: 11,000원
차돌불짬뽕밥: 12,000원
군만두: 6,000원
유린기: 21,000원
깐풍기: 21,000원
삼선누룽지탕: 20,000원
삼선짬뽕탕: 20,000원
옛날짜장: 7,000원
옛날짬뽕: 9,000원
불짬뽕: 9,000원
삼선짬뽕: 11,000원
쟁반짬뽕: 20,000원
미니탕수육: 11,000원
찹쌀탕수육(소): 19,000원
찹쌀탕수육(중): 24,000원
찹쌀탕수육(대): 29,000원
차돌짬뽕: 12,000원
양장피: 24,000원
팔보채: 24,000원
칠리새우: 24,000원
깐풍새우: 24,000원
크림새우: 24,000원
삼선불짬뽕: 11,000원
차돌불짬뽕: 12,000원
쟁반짜장 2인: 20,000원
짬뽕밥: 9,000원
볶음밥: 9,000원
삼선짬뽕밥: 11,000원
차돌짬뽕밥: 12,000원
삼선불짬뽕밥: 11,000원
차돌불짬뽕밥: 12,000원
군만두: 6,000원
유린기: 21,000원
깐풍기: 21,000원
삼선누룽지탕: 20,000원
삼선짬뽕탕: 20,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
우리나라중화요리,"서울특별시 금천구 시흥대로84가길 24 1층 우리나라 지번
지도보기",02-894-0700,"등심탕수육+짜장1+군만두: 18,000원
등심탕수육+짜장2+군만두: 22,000원
등심탕수육+짜장1+짭뽕1+군만두: 23,000원
등심탕수육+짭뽕2+군만두: 24,000원
등심탕수육+간짜장2+군만두: 24,000원
등심탕수육+짜장1+군만두: 18,000원
등심탕수육+짜장2+군만두: 22,000원
등심탕수육+짜장1+짭뽕1+군만두: 23,000원
등심탕수육+짭뽕2+군만두: 24,000원
등심탕수육+간짜장2+군만두: 24,000원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""휴무일""
    },
    ""수"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""금"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""토"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""일"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    }
}"
명가교동짬뽕,"서울특별시 금천구 디지털로9길 46 이앤씨드림타워7차 지번
지도보기",02-6277-8786,"양장피: 28,000원
해물볶음짜장: 18,000원
사천새우: 25,000원
깐풍새우: 25,000원
짬뽕: 9,000원
짬뽕밥: 9,000원
짜장밥: 7,000원
짜장면: 7,000원
순두부짬뽕: 10,000원
순두부짬뽕밥: 10,000원
백짬뽕: 9,000원
찹쌀탕수육 소: 13,000원
납작군만두 3개: 3,000원
물만두: 6,000원
사천탕수육 소: 16,000원
칠리새우: 25,000원
크림새우: 25,000원
양장피: 28,000원
해물볶음짜장: 18,000원
사천새우: 25,000원
깐풍새우: 25,000원
짬뽕: 9,000원
짬뽕밥: 9,000원
짜장밥: 7,000원
짜장면: 7,000원
순두부짬뽕: 10,000원
순두부짬뽕밥: 10,000원
백짬뽕: 9,000원
찹쌀탕수육 소: 13,000원
납작군만두 3개: 3,000원
물만두: 6,000원
사천탕수육 소: 16,000원
칠리새우: 25,000원
크림새우: 25,000원","{
    ""월"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""화"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""수"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""금"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""토"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""일"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    }
}"
차알 가산퍼블릭점,"서울특별시 금천구 디지털로 178 가산퍼블릭A동 지하1층 M-B124호 지번
지도보기",0507-1403-8268,"차알마라탕면 Rice & Noodle: 13,900원
깐풍마늘가지새우(Seafood): 20,000원
차알탕수육(메인육류): 22,000원
몽골리안비프(메인육류): 28,000원
오렌지치킨(메인육류): 21,000원
차알볶음밥 Rice & Noodle: 8,900원
칠리쉬림프(Seafood): 24,000원
토마토차우멘 Rice & Noodle: 13,500원
트레이볶음짜장Rice & Noodle: 9,900원
차알 시그니처 짬뽕: 10,900원
차우멘 Rice & Noodle: 13,000원
차알유린기(메인육류): 21,000원
제네럴쏘치킨(메인육류): 19,000원
씨푸드 앤 스파이스소스: 38,000원
씨푸드 앤 랍스터소스(Seafood): 35,000원
레몬크림새우Seafood: 24,000원
해물누룽지탕: 35,000원
차알어묵짬뽕탕Rice & Noodle: 24,000원
마파두부 Seafood: 14,000원
청경채마늘볶음: 10,000원
차알유린군만두Side dishes: 7,000원
오이무침 Side dishes: 7,000원
차알마라탕면 Rice & Noodle: 13,900원
깐풍마늘가지새우(Seafood): 20,000원
차알탕수육(메인육류): 22,000원
몽골리안비프(메인육류): 28,000원
오렌지치킨(메인육류): 21,000원
차알볶음밥 Rice & Noodle: 8,900원
칠리쉬림프(Seafood): 24,000원
토마토차우멘 Rice & Noodle: 13,500원
트레이볶음짜장Rice & Noodle: 9,900원
차알 시그니처 짬뽕: 10,900원
차우멘 Rice & Noodle: 13,000원
차알유린기(메인육류): 21,000원
제네럴쏘치킨(메인육류): 19,000원
씨푸드 앤 스파이스소스: 38,000원
씨푸드 앤 랍스터소스(Seafood): 35,000원
레몬크림새우Seafood: 24,000원
해물누룽지탕: 35,000원
차알어묵짬뽕탕Rice & Noodle: 24,000원
마파두부 Seafood: 14,000원
청경채마늘볶음: 10,000원
차알유린군만두Side dishes: 7,000원
오이무침 Side dishes: 7,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    }
}"
동흥관,"서울특별시 금천구 시흥대로63길 20 지번
지도보기",02-803-3759,"탕수육(중): 26,000원
짜장: 8,000원
짬뽕: 9,000원
간짜장: 9,000원
볶음밥: 9,000원
짬뽕밥: 9,000원
활조개짬뽕: 13,000원
활조개우동: 13,000원
삼선간짜장: 12,000원
쟁반짜장: 22,000원
수제군만두: 8,500원
마라탕면: 12,000원
차돌짬뽕: 12,000원
쇠고기탕면: 12,000원
삼선화로얼큰탕: 28,000원
오무라이스: 10,000원
마파두부밥: 11,000원
잡채밥: 11,000원
굴짬뽕: 12,000원
우동: 9,000원
기스면: 9,500원
송이덮밥: 13,000원
꿔바로우(중): 28,000원
깐풍기(중): 38,000원
사천탕수육(중): 30,000원
짜춘결: 36,000원
징장로쓰: 32,000원
마라샹궈: 38,000원
해물누룽지탕: 53,000원
전가복(중): 88,000원
탕수육(중): 26,000원
짜장: 8,000원
짬뽕: 9,000원
간짜장: 9,000원
볶음밥: 9,000원
짬뽕밥: 9,000원
활조개짬뽕: 13,000원
활조개우동: 13,000원
삼선간짜장: 12,000원
쟁반짜장: 22,000원
수제군만두: 8,500원
마라탕면: 12,000원
차돌짬뽕: 12,000원
쇠고기탕면: 12,000원
삼선화로얼큰탕: 28,000원
오무라이스: 10,000원
마파두부밥: 11,000원
잡채밥: 11,000원
굴짬뽕: 12,000원
우동: 9,000원
기스면: 9,500원
송이덮밥: 13,000원
꿔바로우(중): 28,000원
깐풍기(중): 38,000원
사천탕수육(중): 30,000원
짜춘결: 36,000원
징장로쓰: 32,000원
마라샹궈: 38,000원
해물누룽지탕: 53,000원
전가복(중): 88,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    }
}"
만다린,"서울특별시 금천구 가산디지털1로 186 제이플라츠 B121 만다린 지번
지도보기",02-2028-5556,"유린기: 27,000원
삼선짬뽕: 11,000원
자장면: 7,000원
유린기: 27,000원
삼선짬뽕: 11,000원
자장면: 7,000원","{
    ""월"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""화"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""수"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""금"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
동보성,"서울특별시 금천구 범안로 1138 지번
지도보기",02-838-9285,"짜장면: 7,000원
짬뽕: 8,000원
간짜장: 8,000원
기스면: 9,000원
차돌짬뽕: 11,000원
전가복중: 
짜장면: 7,000원
짬뽕: 8,000원
간짜장: 8,000원
기스면: 9,000원
차돌짬뽕: 11,000원
전가복중: ","{
    ""월"": {
        ""영업시간"": ""10:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""10:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""10:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
황제짬뽕양꼬치전문점,"서울특별시 금천구 디지털로9길 32 지번
지도보기",02-2106-8530,"탕수육 정식: 7,000원
깐풍기정식: 7,000원
팔보채 정식: 7,000원
찹쌀탕수육(궈보로우) 소: 18,000원
양꼬치: 12,000원
황제전골 짬뽕 소: 38,000원
황제전골 짬뽕 중: 48,000원
짬뽕: 8,000원
육짬뽕: 9,000원
전복짬뽕: 13,000원
경장육슬: 18,000원
마파두부밥: 8,000원
가지볶음: 14,000원
토마토계란볶음: 12,000원
양장피: 22,000원
깐풍기: 18,000원
칠리새우: 18,000원
크림새우: 18,000원
향라대하: 19,000원
고추잡채: 20,000원
유산슬: 22,000원
지삼선: 15,000원
냉짬뽕(계절메뉴): 9,000원
콩국수(계절메뉴): 8,000원
생굴짬뽕: 10,000원
차돌짬뽕: 10,000원
짜장면: 6,500원
해물쟁반짜장(2인): 16,000원
볶음밥: 7,500원
잡채밥: 8,000원
짬뽕밥: 8,000원
육짬뽕밥: 9,000원
차돌짬뽕밥: 10,000원
전복짬뽕밥: 13,000원
고추잡채밥: 8,500원
유산슬밥: 12,000원
군만두: 6,000원
공기밥: 1,000원
찹쌀탕수육+짜장2: 26,000원
찹쌀탕수육+짜장+짬뽕: 27,500원
찹쌀탕수육+짬뽕2: 29,000원
찹쌀탕수육+쟁반짜장2인: 29,000원
탕수육 정식: 7,000원
깐풍기정식: 7,000원
팔보채 정식: 7,000원
찹쌀탕수육(궈보로우) 소: 18,000원
양꼬치: 12,000원
황제전골 짬뽕 소: 38,000원
황제전골 짬뽕 중: 48,000원
짬뽕: 8,000원
육짬뽕: 9,000원
전복짬뽕: 13,000원
경장육슬: 18,000원
마파두부밥: 8,000원
가지볶음: 14,000원
토마토계란볶음: 12,000원
양장피: 22,000원
깐풍기: 18,000원
칠리새우: 18,000원
크림새우: 18,000원
향라대하: 19,000원
고추잡채: 20,000원
유산슬: 22,000원
지삼선: 15,000원
냉짬뽕(계절메뉴): 9,000원
콩국수(계절메뉴): 8,000원
생굴짬뽕: 10,000원
차돌짬뽕: 10,000원
짜장면: 6,500원
해물쟁반짜장(2인): 16,000원
볶음밥: 7,500원
잡채밥: 8,000원
짬뽕밥: 8,000원
육짬뽕밥: 9,000원
차돌짬뽕밥: 10,000원
전복짬뽕밥: 13,000원
고추잡채밥: 8,500원
유산슬밥: 12,000원
군만두: 6,000원
공기밥: 1,000원
찹쌀탕수육+짜장2: 26,000원
찹쌀탕수육+짜장+짬뽕: 27,500원
찹쌀탕수육+짬뽕2: 29,000원
찹쌀탕수육+쟁반짜장2인: 29,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
