이름,주소,전화번호,메뉴,영업시간
펍피맥 가산디지털단지점,"서울특별시 금천구 벚꽃로 298 대륭포스트 타워 6차 124호 지번
지도보기",02-2088-2054,"세트A 피자HALF+감자+갈릭콘: 25,000원
세트A 피자HALF+감자+갈릭콘: 25,000원","{
    ""월"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""17:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
믹스토랑 금천구청점,"서울특별시 금천구 시흥대로79길 15 리솜메디라이프 1층 106호~108호 지번
지도보기",0507-1467-0338,"스폐셜플래터: 38,000원
안심 스테이크: 32,000원
상하이 파스타: 10,900원
크림 베이컨 파스타: 10,900원
감바스 오일 파스타: 10,900원
목살 필라프: 10,900원
믹스 플래터: 25,000원
목살 스테이크: 14,900원
부채살 스테이크: 23,000원
치킨 스테이크: 14,900원
비프 상하이 파스타: 13,900원
토마토 베이컨 파스타: 10,900원
상하이 필라프: 11,900원
새우 필라프: 10,900원
김치 필라프: 10,900원
트러플 크림 리조또: 12,900원
로제 베이컨 리조또: 10,900원
바질크림베이컨 리조또: 12,900원
감바스 알 아히요: 20,000원
스폐셜플래터: 38,000원
안심 스테이크: 32,000원
상하이 파스타: 10,900원
크림 베이컨 파스타: 10,900원
감바스 오일 파스타: 10,900원
목살 필라프: 10,900원
믹스 플래터: 25,000원
목살 스테이크: 14,900원
부채살 스테이크: 23,000원
치킨 스테이크: 14,900원
비프 상하이 파스타: 13,900원
토마토 베이컨 파스타: 10,900원
상하이 필라프: 11,900원
새우 필라프: 10,900원
김치 필라프: 10,900원
트러플 크림 리조또: 12,900원
로제 베이컨 리조또: 10,900원
바질크림베이컨 리조또: 12,900원
감바스 알 아히요: 20,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    }
}"
민소푸,"서울특별시 금천구 가산디지털2로 166 1층 지번
지도보기",0507-1333-7371,"카이센동: 16,000원
마구로 후토마끼: 11,000원
우니 카이센동: 23,000원
부타노가쿠니동: 9,000원
칠리가라아게동: 9,000원
사케동: 15,000원
들기름 연어알 소바: 12,000원
우니 동: 37,000원
우니삼합: 36,000원
홍게살내장크림파스타: 19,000원
새우 & 아나고 튀김: 19,000원
우나기동: 38,000원
바지락 탕: 20,000원
화로 치즈 카니미소: 9,000원
레몬생크림 토마토츠케모노: 6,000원
카이센동: 16,000원
마구로 후토마끼: 11,000원
우니 카이센동: 23,000원
부타노가쿠니동: 9,000원
칠리가라아게동: 9,000원
사케동: 15,000원
들기름 연어알 소바: 12,000원
우니 동: 37,000원
우니삼합: 36,000원
홍게살내장크림파스타: 19,000원
새우 & 아나고 튀김: 19,000원
우나기동: 38,000원
바지락 탕: 20,000원
화로 치즈 카니미소: 9,000원
레몬생크림 토마토츠케모노: 6,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
마드레파스타,"서울특별시 금천구 시흥대로 399 시티렉스 지번
지도보기",02-892-9298,"쉬림프리조또: 11,000원
봉골레 파스타: 10,300원
씨푸드리조또: 11,500원
풍기 파스타: 9,800원
페스카토레 파스타: 11,500원
까르보나라: 11,000원
감베로 로제 파스타: 11,500원
포르마죠: 11,500원
마르게리따 피자: 11,500원
루꼴라 피자: 11,900원
고르곤졸라: 11,900원
쉬림프리조또: 11,000원
봉골레 파스타: 10,300원
씨푸드리조또: 11,500원
풍기 파스타: 9,800원
페스카토레 파스타: 11,500원
까르보나라: 11,000원
감베로 로제 파스타: 11,500원
포르마죠: 11,500원
마르게리따 피자: 11,500원
루꼴라 피자: 11,900원
고르곤졸라: 11,900원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
롱블랙스푼,"서울특별시 금천구 가산디지털1로 131 BYC하이시티 B동 2층 지번
지도보기",02-6947-7788,"관자새우페스토: 17,000원
새우 날치알 크림 파스타: 17,000원
비프스테이크 리조또: 22,000원
채끝등심 스테이크: 45,000원
감바스: 22,000원
하이볼 3종: 8,000원
풍기뇨끼: 19,000원
알리오올리오: 14,000원
해산물파스타: 18,000원
비프치즈크림파스타: 18,000원
그란치오: 17,000원
명란아보카도: 18,000원
해산물토마토리조또: 18,000원
이베리코 스테이크: 30,000원
안심불고기피자: 16,000원
부라타과일샐러드: 21,000원
비프샐러드: 22,000원
안심스테이크: 45,000원
관자새우페스토: 17,000원
새우 날치알 크림 파스타: 17,000원
비프스테이크 리조또: 22,000원
채끝등심 스테이크: 45,000원
감바스: 22,000원
하이볼 3종: 8,000원
풍기뇨끼: 19,000원
알리오올리오: 14,000원
해산물파스타: 18,000원
비프치즈크림파스타: 18,000원
그란치오: 17,000원
명란아보카도: 18,000원
해산물토마토리조또: 18,000원
이베리코 스테이크: 30,000원
안심불고기피자: 16,000원
부라타과일샐러드: 21,000원
비프샐러드: 22,000원
안심스테이크: 45,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
벨 구스토,"서울특별시 금천구 시흥대로 315 롯데캐슬골드파크타워960 201호 지번
지도보기",0507-1413-1178,"빠네: 19,000원
로제 봉골레: 19,000원
바질 페스토 감베로니: 19,000원
페스카토레: 23,000원
알리오 에 올리오: 16,000원
마르게리타: 17,000원
고르곤졸라: 20,000원
세이 포르마쥐: 20,000원
비스테카: 17,000원
만치아 인살라떼: 16,000원
빠네: 19,000원
로제 봉골레: 19,000원
바질 페스토 감베로니: 19,000원
페스카토레: 23,000원
알리오 에 올리오: 16,000원
마르게리타: 17,000원
고르곤졸라: 20,000원
세이 포르마쥐: 20,000원
비스테카: 17,000원
만치아 인살라떼: 16,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""13:30, 20:00""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
니뽕내뽕 현대아울렛가산점,"서울특별시 금천구 디지털로10길 9 현대시티아울렛 6층 지번
지도보기",02-2136-9963,"크뽕: 11,500원
로뽕: 12,500원
사이드메뉴: 1,000원
토핑메뉴: 1000~3000
에이드세트: 32900~35900
탄산세트: 30,900원
시즌메뉴)냉쫄뽕: 10,000원
차뽕: 9,500원
일뽕: 9,500원
고기차뽕: 12,000원
고기일뽕: 12,000원
맵크뽕: 12,500원
마라크뽕: 12,900원
토뽕: 11,900원
콘치즈크뽕: 12,500원
태뽕: 10,500원
쏘야뽕/맵쏘야뽕: 11,500원
new)숯불제육중화뽕: 13,500원
고기짜장: 9,500원
맵짜장: 9,500원
new)숯불제육중화볶음밥: 12,500원
크림불고기리조또: 11,500원
맵로제불고기리조또: 12,500원
로제불고기리조또: 12,500원
니피자: 11,900원
내피자: 11,900원
페피자: 13,500원
콘치즈피자: 13,500원
new)숯불제육피자: 14,500원
크뽕: 11,500원
로뽕: 12,500원
사이드메뉴: 1,000원
토핑메뉴: 1000~3000
에이드세트: 32900~35900
탄산세트: 30,900원
시즌메뉴)냉쫄뽕: 10,000원
차뽕: 9,500원
일뽕: 9,500원
고기차뽕: 12,000원
고기일뽕: 12,000원
맵크뽕: 12,500원
마라크뽕: 12,900원
토뽕: 11,900원
콘치즈크뽕: 12,500원
태뽕: 10,500원
쏘야뽕/맵쏘야뽕: 11,500원
new)숯불제육중화뽕: 13,500원
고기짜장: 9,500원
맵짜장: 9,500원
new)숯불제육중화볶음밥: 12,500원
크림불고기리조또: 11,500원
맵로제불고기리조또: 12,500원
로제불고기리조또: 12,500원
니피자: 11,900원
내피자: 11,900원
페피자: 13,500원
콘치즈피자: 13,500원
new)숯불제육피자: 14,500원","{
    ""월"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    }
}"
미태리 가산한라원앤원점,"서울특별시 금천구 가산디지털2로 101 1층 126호 지번
지도보기",02-2101-2098,"올데이세트: 31,800원
감바스 파스타: 10,500원
로제 맵제 파스타: 12,500원
시그니처 큐브 스테이크: 23,000원
해물 짬뽕 파스타: 9,500원
봉골레 파스타: 8,800원
베이컨 까르보나라: 9,500원
이태리 정통 빠네: 11,800원
미태리 페퍼로니 피자: 10,800원
미태리 갈릭 포테이토 피자: 12,800원
토마토 파스타: 6,800원
베이컨 토마토 파스타: 9,500원
해물 토마토 파스타: 10,500원
알리오 올리오: 8,300원
양송이 까르보나라: 8,800원
매운 까르보나라: 9,500원
이태리 로제 파스타: 9,500원
미태리 치즈 피자: 10,500원
미태리 고르곤졸라 피자: 10,800원
토마토 치즈 리조또: 10,500원
크림 치즈 리조또: 10,500원
킹소시지 김치 볶음밥: 10,500원
소불고기 필라프: 9,500원
미태리 가든 샐러드: 5,900원
버터 갈릭 감자튀김: 4,000원
해쉬브라운 1pcs: 1,500원
멘보샤 5pcs: 5,000원
텐더스틱 3pcs: 4,500원
킹소시지 1pcs: 2,500원
에이드: 4,500원
올데이세트: 31,800원
감바스 파스타: 10,500원
로제 맵제 파스타: 12,500원
시그니처 큐브 스테이크: 23,000원
해물 짬뽕 파스타: 9,500원
봉골레 파스타: 8,800원
베이컨 까르보나라: 9,500원
이태리 정통 빠네: 11,800원
미태리 페퍼로니 피자: 10,800원
미태리 갈릭 포테이토 피자: 12,800원
토마토 파스타: 6,800원
베이컨 토마토 파스타: 9,500원
해물 토마토 파스타: 10,500원
알리오 올리오: 8,300원
양송이 까르보나라: 8,800원
매운 까르보나라: 9,500원
이태리 로제 파스타: 9,500원
미태리 치즈 피자: 10,500원
미태리 고르곤졸라 피자: 10,800원
토마토 치즈 리조또: 10,500원
크림 치즈 리조또: 10,500원
킹소시지 김치 볶음밥: 10,500원
소불고기 필라프: 9,500원
미태리 가든 샐러드: 5,900원
버터 갈릭 감자튀김: 4,000원
해쉬브라운 1pcs: 1,500원
멘보샤 5pcs: 5,000원
텐더스틱 3pcs: 4,500원
킹소시지 1pcs: 2,500원
에이드: 4,500원","{
    ""월"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""화"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
해식달주,"서울특별시 금천구 가산디지털1로 168 A동 209호 지번
지도보기",02-863-0869,"순살 갈비찜: 9,000원
수제 로제 돈가스: 14,500원
흑임자 빠네: 16,200원
페퍼로니 피자: 16,900원
고르곤졸라 피자: 16,900원
레드와인, 바론 드 세낙: 22,000원
화이트 와인, 레이트 하비스트: 32,800원
스파클링 와인, 루나 모스카토: 24,000원
얼그레이 하이볼: 8,000원
엑스밤: 8,000원
피치트리 레몬: 7,000원
얼큰홍합라면: 7,900원
순살갈비찜: 9,000원
쉬림프 토마토 파스타: 14,500원
샐러드파스타: 14,200원
제육볶음: 8,500원
소고기카레: 9,500원
라면 무료제공: 0원
와인삼겹&볶음김치: 24,000원
순살 닭볶음탕: 8,500원
쉬림프 로제 그라탕: 14,500원
쉬림프 로제 파스타: 14,500원
빠네: 16,300원
순살 갈비찜: 9,000원
수제 로제 돈가스: 14,500원
흑임자 빠네: 16,200원
페퍼로니 피자: 16,900원
고르곤졸라 피자: 16,900원
레드와인, 바론 드 세낙: 22,000원
화이트 와인, 레이트 하비스트: 32,800원
스파클링 와인, 루나 모스카토: 24,000원
얼그레이 하이볼: 8,000원
엑스밤: 8,000원
피치트리 레몬: 7,000원
얼큰홍합라면: 7,900원
순살갈비찜: 9,000원
쉬림프 토마토 파스타: 14,500원
샐러드파스타: 14,200원
제육볶음: 8,500원
소고기카레: 9,500원
라면 무료제공: 0원
와인삼겹&볶음김치: 24,000원
순살 닭볶음탕: 8,500원
쉬림프 로제 그라탕: 14,500원
쉬림프 로제 파스타: 14,500원
빠네: 16,300원","{
    ""월"": {
        ""영업시간"": ""17:00 - 23:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:30""
    },
    ""화"": {
        ""영업시간"": ""17:00 - 23:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:30""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)17:00 - 23:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:30""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 23:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:30""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
더제이케이키친박스 가산디지털점,"서울특별시 금천구 가산디지털1로 145 에이스하이엔드타워3 1층 111호 지번
지도보기",0507-1419-0041,"파스타: 10900~21800
빠네 파스타: 13900~16900
라이스: 9900~14900
피자: 12900~18900
샐러드: 9900~12900
파스타: 10900~21800
빠네 파스타: 13900~16900
라이스: 9900~14900
피자: 12900~18900
샐러드: 9900~12900","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:15""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:15""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:15""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:15""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:15""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""19:15""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
