RID,이름,주소,전화번호,메뉴,영업시간
x3ZK0zDnHzbv,보은식당,"서울특별시 금천구 시흥대로153길 84 지번
지도보기",02-854-2442,"부대찌개: 11,000원
동태찌개: 10,000원
닭도리탕 대: 45,000원
삼겹살 칠레산: 14,000원
제육볶음: 11,000원
오징어볶음: 14,000원
조기매운탕: 10,000원
북어국: 10,000원
김치찌개: 8,000원
된장찌개: 8,000원
청국장: 8,000원
순두부: 8,000원
삼겹살 국내산: 17,000원
닭도리탕 중: 40,000원
부대찌개: 11,000원
동태찌개: 10,000원
닭도리탕 대: 45,000원
삼겹살 칠레산: 14,000원
제육볶음: 11,000원
오징어볶음: 14,000원
조기매운탕: 10,000원
북어국: 10,000원
김치찌개: 8,000원
된장찌개: 8,000원
청국장: 8,000원
순두부: 8,000원
삼겹살 국내산: 17,000원
닭도리탕 중: 40,000원","{
    ""월"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)영업시간 확인 필요"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
oQd45crovzDL,차림,"서울특별시 금천구 가산디지털1로 131 C동 지하1층 지번
지도보기",0507-1300-4997,"고등어조림: 18,000원
해초고등어한상: 16,000원
차림정식: 35,000원
차림특정식: 45,000원
차림 정 한정식: 65,000원
차림한정식: 55,000원
갈치조림: 20,000원
활어회덮밥: 22,000원
생우럭탕: 24,000원
전복뚝배기: 18,000원
물회: 22,000원
장어구이보양정식: 38,000원
남도보리굴비정식: 35,000원
고등어조림: 18,000원
해초고등어한상: 16,000원
차림정식: 35,000원
차림특정식: 45,000원
차림 정 한정식: 65,000원
차림한정식: 55,000원
갈치조림: 20,000원
활어회덮밥: 22,000원
생우럭탕: 24,000원
전복뚝배기: 18,000원
물회: 22,000원
장어구이보양정식: 38,000원
남도보리굴비정식: 35,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
TIsrMm19rLFS,가마솥 서울깍두기,"서울특별시 금천구 가산디지털1로 186 지번
지도보기",02-2028-7070,"설렁탕 특: 11,000원
도가니탕: 16,000원
꼬리곰탕: 18,000원
소고기국밥: 9,000원
소갈비해장국: 11,000원
설렁탕 보통: 9,000원
선지해장국: 8,000원
황태해장국: 8,000원
김치찌개: 8,000원
청국장: 8,000원
설렁탕 특: 11,000원
도가니탕: 16,000원
꼬리곰탕: 18,000원
소고기국밥: 9,000원
소갈비해장국: 11,000원
설렁탕 보통: 9,000원
선지해장국: 8,000원
황태해장국: 8,000원
김치찌개: 8,000원
청국장: 8,000원","{
    ""월"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)영업시간 확인 필요"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
K5FfEtlm2Vrs,춘천옥,"서울특별시 금천구 디지털로12길 19 지번
지도보기",02-868-9937,"점심특선: 13,000원
보쌈 (소): 36,000원
메밀 막국수: 10,000원
선직국밥: 9,000원
보쌈(대): 55,000원
점심특선: 13,000원
보쌈 (소): 36,000원
메밀 막국수: 10,000원
선직국밥: 9,000원
보쌈(대): 55,000원","{
    ""월"": {
        ""영업시간"": ""11:40 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:40 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:30""
    },
    ""수"": {
        ""영업시간"": ""11:50 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""11:40 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:30""
    },
    ""금"": {
        ""영업시간"": ""11:40 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:30""
    },
    ""토"": {
        ""영업시간"": ""11:50 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""20:30""
    },
    ""일"": {
        ""영업시간"": ""11:50 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""20:30""
    }
}"
XL5KHshyqj6Q,꽃향기칼국수,"서울특별시 금천구 시흥대로90길 33-3 지번
지도보기",02-892-2185,"바지락칼국수: 8,000원
부대찌개: 7,000원
비빔밥: 7,000원
돌솥비빔밥: 7,000원
김치찌개: 7,000원
순두부찌개: 7,000원
오징어볶음: 8,000원
내장탕: 8,000원
콩국수: 8,000원
열무냉면: 8,000원
떡만두국: 7,000원
육개장: 8,000원
들깨 칼국수: 7,000원
도토리묵밥: 7,000원
된장찌개: 6,000원
닭도리탕: 32000~42000
제육볶음: 8,000원
물냉면: 7,000원
비빔냉면: 7,000원
바지락칼국수: 8,000원
부대찌개: 7,000원
비빔밥: 7,000원
돌솥비빔밥: 7,000원
김치찌개: 7,000원
순두부찌개: 7,000원
오징어볶음: 8,000원
내장탕: 8,000원
콩국수: 8,000원
열무냉면: 8,000원
떡만두국: 7,000원
육개장: 8,000원
들깨 칼국수: 7,000원
도토리묵밥: 7,000원
된장찌개: 6,000원
닭도리탕: 32000~42000
제육볶음: 8,000원
물냉면: 7,000원
비빔냉면: 7,000원","{
    ""월"": {
        ""영업시간"": ""08:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)08:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""08:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""08:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""08:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""08:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
M89Pesqn60Nu,반반식당 마리오점,"서울특별시 금천구 벚꽃로 266 마리오아울렛3 12층 지번
지도보기",02-2067-2400,"반반김치찌개: 8,000원
차돌된장찌개: 8,000원
닭도리탕: 28,000원
불고기비빔밥: 9,500원
육회비빔밥: 10,000원
반반김치찌개세트(2인): 19,500원
반반김치찌개세트(3인): 26,500원
반반김치찌개: 8,000원
차돌된장찌개: 8,000원
닭도리탕: 28,000원
불고기비빔밥: 9,500원
육회비빔밥: 10,000원
반반김치찌개세트(2인): 19,500원
반반김치찌개세트(3인): 26,500원","{
    ""월"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""10:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
qsSnb1512QOo,궁전산들애,"서울특별시 금천구 독산로 178-1 지번
지도보기",02-802-4535,"명인 간장게장 정식(2인이상주문가능): 27,000원
명인 옥돔 정식(2인이상 주문가능): 25,000원
지리산 흑돼지 제육정식(2인이상): 15,000원
약선 삼계탕: 17,000원
능이오리백숙 1마리: 80,000원
지리산 흑돼지 제육볶음 단품: 25,000원
흑돼지 떡갈비4EA: 10,000원
채 감자전: 17,000원
간장게장 포장: 50,000원
궁전정식(8인이상 주문가능): 40,000원
궁정식(2인이상 주문가능): 20,000원
산들애 정식(2인이상 주문가능): 15,000원
코다리 정식(2인이상 주문가능): 15,000원
쭈꾸미 정식(2인이상 주문가능): 15,000원
명인 간장게장 정식(2인이상주문가능): 27,000원
명인 옥돔 정식(2인이상 주문가능): 25,000원
지리산 흑돼지 제육정식(2인이상): 15,000원
약선 삼계탕: 17,000원
능이오리백숙 1마리: 80,000원
지리산 흑돼지 제육볶음 단품: 25,000원
흑돼지 떡갈비4EA: 10,000원
채 감자전: 17,000원
간장게장 포장: 50,000원
궁전정식(8인이상 주문가능): 40,000원
궁정식(2인이상 주문가능): 20,000원
산들애 정식(2인이상 주문가능): 15,000원
코다리 정식(2인이상 주문가능): 15,000원
쭈꾸미 정식(2인이상 주문가능): 15,000원","{
    ""월"": {
        ""영업시간"": ""10:40 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)10:40 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""수"": {
        ""영업시간"": ""10:40 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""목"": {
        ""영업시간"": ""10:40 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""금"": {
        ""영업시간"": ""10:40 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""토"": {
        ""영업시간"": ""10:40 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""일"": {
        ""영업시간"": ""10:40 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    }
}"
8WNHniDTaRhE,오봉집 금천시흥점,"서울특별시 금천구 시흥대로50길 11 1층 지번
지도보기",0507-1469-0373,"낙지오봉스페셜: 56,000원
오징어오봉스페셜: 55,000원
직화제낙볶음: 14,000원
직화제육볶음: 11,000원
보쌈정식: 12,000원
바지락칼국수: 9,000원
직화오돌뼈주먹밥: 17,000원
쫀득편육: 14,000원
쟁반막국수: 9,000원
매생이연포보쌈: 56,000원
매생이연포탕: 30,000원
얼큰낙지전골: 30,000원
칼낙지: 14,000원
가브리수육전골: 34,000원
오봉조개탕: 18,000원
오봉보쌈: 33,000원
직화낙지볶음: 14,000원
낙지오봉스페셜: 56,000원
오징어오봉스페셜: 55,000원
직화제낙볶음: 14,000원
직화제육볶음: 11,000원
보쌈정식: 12,000원
바지락칼국수: 9,000원
직화오돌뼈주먹밥: 17,000원
쫀득편육: 14,000원
쟁반막국수: 9,000원
매생이연포보쌈: 56,000원
매생이연포탕: 30,000원
얼큰낙지전골: 30,000원
칼낙지: 14,000원
가브리수육전골: 34,000원
오봉조개탕: 18,000원
오봉보쌈: 33,000원
직화낙지볶음: 14,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 22:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 22:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    }
}"
U39nr6yhTNhh,밥생선구이,"서울특별시 금천구 디지털로12길 41-4 지번
지도보기",02-853-8776,"부대찌개: 22,000원
김치찌개: 20,000원
갈치구이: 10,000원
삼치구이: 10,000원
알탕전골: 35,000원
동태전골: 30,000원
가자미구이: 10,000원
모듬생선 중: 35,000원
모듬생선 대: 40,000원
오징어볶음: 22,000원
제육볶음: 20,000원
동태찌개: 22,000원
알탕: 11,000원
내장탕: 11,000원
불고기전골: 26,000원
곱창전골: 26,000원
갈치조림: 25,000원
김치두루치기: 20,000원
고등어구이: 10,000원
부대찌개: 22,000원
김치찌개: 20,000원
갈치구이: 10,000원
삼치구이: 10,000원
알탕전골: 35,000원
동태전골: 30,000원
가자미구이: 10,000원
모듬생선 중: 35,000원
모듬생선 대: 40,000원
오징어볶음: 22,000원
제육볶음: 20,000원
동태찌개: 22,000원
알탕: 11,000원
내장탕: 11,000원
불고기전골: 26,000원
곱창전골: 26,000원
갈치조림: 25,000원
김치두루치기: 20,000원
고등어구이: 10,000원","{
    ""월"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)영업시간 확인 필요"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
5M8valzc3lU0,밥조이,"서울특별시 금천구 벚꽃로 286 삼성리더스타워 지번
지도보기",02-2026-7116,"김치알돌솥: 9,500원
제육알돌솥: 9,500원
함박김치돌솥: 9,500원
돈불고기돌솥: 9,500원
스크럼블강된장: 9,000원
야채나물비빔밥: 9,000원
돌솥비빔밥: 9,000원
치즈김치돌솥: 9,500원
낙지돌솥: 9,500원
김치알돌솥: 9,500원
제육알돌솥: 9,500원
함박김치돌솥: 9,500원
돈불고기돌솥: 9,500원
스크럼블강된장: 9,000원
야채나물비빔밥: 9,000원
돌솥비빔밥: 9,000원
치즈김치돌솥: 9,500원
낙지돌솥: 9,500원","{
    ""월"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""16:30 - 17:30"",
        ""라스트오더"": ""20:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)10:00 - 21:00"",
        ""브레이크타임"": ""16:30 - 17:30"",
        ""라스트오더"": ""20:30""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""16:30 - 17:30"",
        ""라스트오더"": ""20:30""
    },
    ""금"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""16:30 - 17:30"",
        ""라스트오더"": ""20:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 16:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""15:30""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
