이름,주소,전화번호,메뉴,영업시간
명가의뜰 현대백화점 디큐브시티점,"서울특별시 구로구 경인로 662 디큐브시티 지하2층 지번
지도보기",02-2210-9742,"고등어구이: 11,500원
떡갈비구이(2PCS): 9,000원
우삼겹 된장찌개와 솥밥반상: 12,000원
솥밥 추가: 2,000원
공깃밥 추가: 1,000원
브리지톡 레몬토닉 제로: 3,000원
직화제육볶음과 된장찌개 솥밥반상: 18,000원
명란솥밥과 된장찌개 반상: 18,000원
곤드레밥 변경: 1,000원
남도식 돼지고기 김치찌개 솥밥반상: 12,000원
담양식 떡갈비와 몽글순두부찌개 솥밥반상: 16,500원
들깨순두부찌개 솥밥반상: 12,000원
펩시: 2,500원
펩시제로: 2,500원
사이다: 2,500원
카스 맥주 (병): 6,000원
안동식 간고등어 솥밥반상: 16,000원
담양식 떡갈비와 된장찌개 솥밥반상: 16,500원
강릉식 몽글순두부찌개 솥밥반상: 12,000원
콩비지찌개와 곤드레솥밥 반상: 17,000원
2인 반상: 39,500원
고등어구이: 11,500원
떡갈비구이(2PCS): 9,000원
우삼겹 된장찌개와 솥밥반상: 12,000원
솥밥 추가: 2,000원
공깃밥 추가: 1,000원
브리지톡 레몬토닉 제로: 3,000원
직화제육볶음과 된장찌개 솥밥반상: 18,000원
명란솥밥과 된장찌개 반상: 18,000원
곤드레밥 변경: 1,000원
남도식 돼지고기 김치찌개 솥밥반상: 12,000원
담양식 떡갈비와 몽글순두부찌개 솥밥반상: 16,500원
들깨순두부찌개 솥밥반상: 12,000원
펩시: 2,500원
펩시제로: 2,500원
사이다: 2,500원
카스 맥주 (병): 6,000원
안동식 간고등어 솥밥반상: 16,000원
담양식 떡갈비와 된장찌개 솥밥반상: 16,500원
강릉식 몽글순두부찌개 솥밥반상: 12,000원
콩비지찌개와 곤드레솥밥 반상: 17,000원
2인 반상: 39,500원","{
    ""월"": {
        ""영업시간"": ""10:30 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""19:50""
    },
    ""화"": {
        ""영업시간"": ""10:30 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""19:50""
    },
    ""수"": {
        ""영업시간"": ""10:30 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""19:50""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:30 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""19:50""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""19:50""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""19:50""
    },
    ""일"": {
        ""영업시간"": ""10:30 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""19:50""
    }
}"
초가집 부뚜막청국장,"서울특별시 구로구 구로중앙로28길 24 지번
지도보기",0507-1368-0609,"보쌈정식: 16,000원
청국장: 11,000원
파전: 16,000원
손두부김치: 17,000원
손두부보쌈: 34,000원
아구찜-소-: 29,000원
아구찜-중-: 39,000원
아구찜-대-: 49,000원
어린이수제돈까스: 8,000원
도토리묵: 16,000원
우렁회무침: 16,000원
손두부부침: 8,000원
우렁된장: 11,000원
순두부: 11,000원
콩국수(여름메뉴): 11,000원
부뚜막스페샬: 46,000원
손(모)두부: 8,000원
보쌈정식: 16,000원
청국장: 11,000원
파전: 16,000원
손두부김치: 17,000원
손두부보쌈: 34,000원
아구찜-소-: 29,000원
아구찜-중-: 39,000원
아구찜-대-: 49,000원
어린이수제돈까스: 8,000원
도토리묵: 16,000원
우렁회무침: 16,000원
손두부부침: 8,000원
우렁된장: 11,000원
순두부: 11,000원
콩국수(여름메뉴): 11,000원
부뚜막스페샬: 46,000원
손(모)두부: 8,000원","{
    ""월"": {
        ""영업시간"": ""08:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""화"": {
        ""영업시간"": ""08:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""수"": {
        ""영업시간"": ""08:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)08:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""금"": {
        ""영업시간"": ""08:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""토"": {
        ""영업시간"": ""08:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    },
    ""일"": {
        ""영업시간"": ""08:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:30""
    }
}"
전라도밥상,"서울특별시 구로구 디지털로26길 111 지번
지도보기",0507-1480-5668,"오늘의메뉴: 9,000원
매운갈비찜: 9,500원
오징어볶음: 9,000원
생선구이: 9,000원
생고기김치찌개: 9,000원
보쌈: 9,500원
제육쌈: 9,500원
제육비빔밥: 9,000원
낙지비빔밥: 9,000원
차돌된장찌개: 9,000원
꽃게된장찌개: 8,000원
바지락순두부: 8,000원
청국장: 8,000원
오징어숙회: 12,000원
생삼겹살: 15,000원
생목살: 15,000원
볶음밥: 3,000원
물냉면: 6,000원
비빔냉면: 6,000원
오늘의메뉴: 9,000원
매운갈비찜: 9,500원
오징어볶음: 9,000원
생선구이: 9,000원
생고기김치찌개: 9,000원
보쌈: 9,500원
제육쌈: 9,500원
제육비빔밥: 9,000원
낙지비빔밥: 9,000원
차돌된장찌개: 9,000원
꽃게된장찌개: 8,000원
바지락순두부: 8,000원
청국장: 8,000원
오징어숙회: 12,000원
생삼겹살: 15,000원
생목살: 15,000원
볶음밥: 3,000원
물냉면: 6,000원
비빔냉면: 6,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
한옥집,"서울특별시 구로구 디지털로 300 지밸리비즈플라자 지하1층 지번
지도보기",02-6344-3952,"김치찜: 11,000원
김치찌개: 11,000원
제육볶음: 11,000원
매운오징어볶음 소: 11,000원
치즈달걀말이: 10,000원
떡갈비: 10,000원
2인 세트: 26,000원
3인 세트: 39,000원
김치찜: 11,000원
김치찌개: 11,000원
제육볶음: 11,000원
매운오징어볶음 소: 11,000원
치즈달걀말이: 10,000원
떡갈비: 10,000원
2인 세트: 26,000원
3인 세트: 39,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:20""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:20""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:20""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:20""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:20""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
송림가,"서울특별시 구로구 경인로 398 송림가 지번
지도보기",0507-1492-6020,"한우꽃등심 130g: 67,000원
부귀한정식: 45,000원
숯불양념갈비 250g: 45,000원
돼지갈비 500g/250g(서빙시): 25,000원
한우꽃등심 130g: 67,000원
부귀한정식: 45,000원
숯불양념갈비 250g: 45,000원
돼지갈비 500g/250g(서빙시): 25,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:45""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:45""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:45""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:45""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:45""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:45""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:45""
    }
}"
종가집,"서울특별시 구로구 디지털로 272 지번
지도보기",02-2108-8887,"비지찌개: 9,000원
청국장: 9,000원
종가 보쌈정식: 11,000원
김치 고등어찜: 9,000원
종가 제육볶음: 10,000원
종가집 김치찌개: 9,000원
뚝배기 불고기: 7,000원
비지찌개: 9,000원
청국장: 9,000원
종가 보쌈정식: 11,000원
김치 고등어찜: 9,000원
종가 제육볶음: 10,000원
종가집 김치찌개: 9,000원
뚝배기 불고기: 7,000원","{
    ""월"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)영업시간 확인 필요"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
소녀방앗간,"서울특별시 구로구 경인로 662 5층 소녀방앗간 지번
지도보기",0507-1354-9533,"산나물밥과 꽃핀수육: 16,800원
산나물밥과 고춧가루제육볶음: 12,800원
2인 건강한상: 35,000원
2인 풍성한상: 40,000원
산나물밥과 우렁된장찌개: 12,800원
참명란비빔밥: 11,800원
장아찌불고기밥: 11,800원
꽃핀수육(단품): 12,800원
재래간장떡갈비(단품): 11,800원
발효청 음료(오미자/사과): 4,000원
발효청 스파클링(오미자/사과): 5,000원
산나물밥과 꽃핀수육: 16,800원
산나물밥과 고춧가루제육볶음: 12,800원
2인 건강한상: 35,000원
2인 풍성한상: 40,000원
산나물밥과 우렁된장찌개: 12,800원
참명란비빔밥: 11,800원
장아찌불고기밥: 11,800원
꽃핀수육(단품): 12,800원
재래간장떡갈비(단품): 11,800원
발효청 음료(오미자/사과): 4,000원
발효청 스파클링(오미자/사과): 5,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
안면도 밥상,"서울특별시 구로구 디지털로34길 43 지번
지도보기",0507-1381-6336,"가정식 백반 한 상: 15,000원
가정식 백반 한 상: 15,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
경복궁,"서울특별시 구로구 경인로 662 디큐브시티 현대백화점 6층 (신도림역 1번 출구) 지번
지도보기",02-2634-4433,"영양갈비찜한정식(평일/점심특선): 40,000원
한우 꽃등심 코스: 95,000원
한우 양념불고기 정식: 33,000원
숯불갈비살한정식 (평일/점심특선): 34,000원
상견례 한정식: 78,000원
보리굴비정식: 38,000원
주류반입비: 20,000원
양념갈비 코스: 73,000원
생갈비 코스: 73,000원
양념갈비 세트: 63,000원
생갈비 세트: 63,000원
한우 생등심 세트: 80,000원
양념갈비: 53,000원
생갈비: 53,000원
한우 꽃등심: 75,000원
한우 눈꽃 육회: 25,000원
모듬회: 25,000원
육개장 반상: 17,000원
영양갈비찜한정식(평일/점심특선): 40,000원
한우 꽃등심 코스: 95,000원
한우 양념불고기 정식: 33,000원
숯불갈비살한정식 (평일/점심특선): 34,000원
상견례 한정식: 78,000원
보리굴비정식: 38,000원
주류반입비: 20,000원
양념갈비 코스: 73,000원
생갈비 코스: 73,000원
양념갈비 세트: 63,000원
생갈비 세트: 63,000원
한우 생등심 세트: 80,000원
양념갈비: 53,000원
생갈비: 53,000원
한우 꽃등심: 75,000원
한우 눈꽃 육회: 25,000원
모듬회: 25,000원
육개장 반상: 17,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
여수식당,"서울특별시 구로구 디지털로26길 111 jnk디지털타워 지하1층 지번
지도보기",02-6124-5999,"여수정식: 9,000원
보쌈정식: 9,000원
갈치조림: 12,000원
고등어구이: 9,000원
돌솥비빔밥: 9,000원
고추장불고기: 9,000원
버섯소불고기: 9,000원
애호박고추장찌개: 9,000원
우렁이 미역국: 8,000원
우렁이된장찌개: 8,000원
여수정식: 9,000원
보쌈정식: 9,000원
갈치조림: 12,000원
고등어구이: 9,000원
돌솥비빔밥: 9,000원
고추장불고기: 9,000원
버섯소불고기: 9,000원
애호박고추장찌개: 9,000원
우렁이 미역국: 8,000원
우렁이된장찌개: 8,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""16:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""16:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:00"",
        ""브레이크타임"": ""16:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""16:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
