이름,주소,전화번호,메뉴,영업시간
밀앤비스트로,"서울특별시 구로구 도림로12길 21 101호 지번
지도보기",0507-1321-7496,"*글라스 와인*: 6,000원
*글라스 와인*: 6,000원","{
    ""월"": {
        ""영업시간"": ""17:00 - 21:50"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""화"": {
        ""영업시간"": ""17:00 - 21:50"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""수"": {
        ""영업시간"": ""17:00 - 21:50"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)17:00 - 21:50"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 21:50"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""토"": {
        ""영업시간"": ""17:00 - 21:50"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:50""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
Baks,"서울특별시 구로구 구일로8길 92 118호 지번
지도보기",0507-1431-9880,"갈릭 스테이크: 21,000원
까르보나라: 9,000원
쉬림프 로제 파스타: 10,000원
갈릭 스테이크: 21,000원
까르보나라: 9,000원
쉬림프 로제 파스타: 10,000원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    }
}"
아웃백스테이크하우스 고척아이파크몰점,"서울특별시 구로구 경인로43길 49 D동 2층 지번
지도보기",0507-1319-9741,"토마호크 7 프리미어 에디션: 335,000원
포터하우스 (100g 당): 30,000원
블랙라벨 랍스터&치즈슈림프 패밀리세트: 189,000원
토마호크 7 프리미어 에디션: 335,000원
포터하우스 (100g 당): 30,000원
블랙라벨 랍스터&치즈슈림프 패밀리세트: 189,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""10:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    }
}"
라마노피자,"서울특별시 구로구 디지털로34길 55 B119-1 지번
지도보기",0507-1435-2830,"생 라임 모히또: 8,900원
샹그리아: 7,900원
모르따델라 부라따: 24,900원
프로슈토크루도: 21,800원
바질리코: 18,900원
리코타 루꼴라 피자: 20,900원
크림소스 깔조네: 21,800원
로제소스 깔조네: 21,800원
뇨끼 (바질페스토소스): 19,800원
뇨끼 (양송이크림소스): 19,800원
파케리 라구: 18,900원
제노베제: 14,900원
스파게티 감베리: 15,900원
새우 로제 리조또: 17,900원
레드락생맥주: 5,900원
와인: 5,900원
부라따 프로슈토 샐러드: 15,900원
로메인 샐러드: 11,900원
마르게리따: 14,900원
꽈뜨로뽀르마지: 16,900원
페페로니: 16,900원
직화불고기 피자: 19,900원
풍기피자: 17,900원
피자 비앙카: 18,900원
피칸테 누오보: 19,900원
감바스 알 아히요: 23,900원
까르보나라: 13,900원
아마트리치아나: 13,900원
보코치니 로제 파스타: 15,900원
페스카토레: 16,900원
알리오 올리오: 13,900원
봉골레: 15,900원
수란베이컨크림리조또: 17,900원
해산물 토마토 리조또: 17,900원
생 라임 모히또: 8,900원
샹그리아: 7,900원
모르따델라 부라따: 24,900원
프로슈토크루도: 21,800원
바질리코: 18,900원
리코타 루꼴라 피자: 20,900원
크림소스 깔조네: 21,800원
로제소스 깔조네: 21,800원
뇨끼 (바질페스토소스): 19,800원
뇨끼 (양송이크림소스): 19,800원
파케리 라구: 18,900원
제노베제: 14,900원
스파게티 감베리: 15,900원
새우 로제 리조또: 17,900원
레드락생맥주: 5,900원
와인: 5,900원
부라따 프로슈토 샐러드: 15,900원
로메인 샐러드: 11,900원
마르게리따: 14,900원
꽈뜨로뽀르마지: 16,900원
페페로니: 16,900원
직화불고기 피자: 19,900원
풍기피자: 17,900원
피자 비앙카: 18,900원
피칸테 누오보: 19,900원
감바스 알 아히요: 23,900원
까르보나라: 13,900원
아마트리치아나: 13,900원
보코치니 로제 파스타: 15,900원
페스카토레: 16,900원
알리오 올리오: 13,900원
봉골레: 15,900원
수란베이컨크림리조또: 17,900원
해산물 토마토 리조또: 17,900원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:00, 20:30""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:00, 20:30""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:00, 20:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:00, 20:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:00, 20:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:00, 20:30""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:00, 20:30""
    }
}"
브런치빈 신도림점,"서울특별시 구로구 경인로67길 23 신도림2차푸르지오 201동 3층 310호 지번
지도보기",0507-1300-9819,"마이플래터: 13,900원
쉬림프 알리오 올리오: 13,900원
스파이시 쉬림프 파스타: 13,900원
치즈프루티: 11,900원
베리 프렌치 토스트: 10,900원
마이플래터: 13,900원
쉬림프 알리오 올리오: 13,900원
스파이시 쉬림프 파스타: 13,900원
치즈프루티: 11,900원
베리 프렌치 토스트: 10,900원","{
    ""월"": {
        ""영업시간"": ""09:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""09:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""09:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)09:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""09:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""09:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""09:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    }
}"
레시피타운,"서울특별시 구로구 남부순환로97길 12 지번
지도보기",02-2688-5255,"이즈니버터 크로플 1piece: 3,800원
팥눈꽃빙수: 8,000원
이즈니버터 크로플 2pieces: 7,000원
아이스크림 크로플: 9,000원
망고 크로플: 12,000원
트리플베리 크로플: 12,000원
망고눈꽃빙수: 12,000원
트리플베리눈꽃빙수: 12,000원
더블치즈토스트: 3,800원
아이스크림: 3,800원
아포가또: 6,000원
아메리카노: 4,000원
카페라떼: 4,500원
카푸치노: 4,500원
바닐라라떼: 5,000원
솔티드캬라멜라떼: 5,000원
라떼오렌지: 5,000원
생크림라떼: 5,500원
착즙오렌지쥬스: 5,000원
산펠레그리노 탄산수: 3,500원
이즈니버터 크로플 1piece: 3,800원
팥눈꽃빙수: 8,000원
이즈니버터 크로플 2pieces: 7,000원
아이스크림 크로플: 9,000원
망고 크로플: 12,000원
트리플베리 크로플: 12,000원
망고눈꽃빙수: 12,000원
트리플베리눈꽃빙수: 12,000원
더블치즈토스트: 3,800원
아이스크림: 3,800원
아포가또: 6,000원
아메리카노: 4,000원
카페라떼: 4,500원
카푸치노: 4,500원
바닐라라떼: 5,000원
솔티드캬라멜라떼: 5,000원
라떼오렌지: 5,000원
생크림라떼: 5,500원
착즙오렌지쥬스: 5,000원
산펠레그리노 탄산수: 3,500원","{
    ""월"": {
        ""영업시간"": ""11:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
라그릴리아,"서울특별시 구로구 경인로 662 디큐브시티 별관 2층 지번
지도보기",02-2069-3029,"뇨끼 프릿츠: 10,900원
크런치 단호박 크림 뇨끼: 21,900원
리치 치즈 볼로네제 라자냐: 23,900원
홍가리비 스튜 파스타: 24,900원
시그니처 빅 플래터: 79,000원
BBQ 폭립 플래터: 43,900원
티본 스테이크 (850g): 179,000원
본인립아이 스테이크 (500g): 119,000원
비프 온더 스톤 안심 (170g): 47,900원
비프 온더 스톤 채끝등심 (170g): 39,900원
비프 온더 스톤 부채살 (210g): 36,900원
새우 날치알 크림 스파게티: 20,900원
해산물 토마토 스파게티: 22,900원
해산물 치오피노 스파게티: 23,900원
봉골레 가리비 스파게티: 23,900원
로얄 까르보나라 스파게티: 19,900원
크림 볼로네제 스파게티: 19,900원
감태페스토 전복 리조또: 25,900원
갈비 리조또: 26,900원
트러플 크림 리조또: 22,900원
마르게리따 피자: 18,900원
고르곤졸라 피자: 18,900원
트러플 풍기 피자: 18,900원
과카몰리 치킨 샐러드: 17,900원
새우 버섯 샐러드: 18,900원
버팔로윙 & 프렌치 프라이즈: 16,900원
트러플 프렌치 프라이즈: 10,900원
스위트 포테이토 프라이즈: 10,900원
양송이 스프: 6,900원
뇨끼 프릿츠: 10,900원
크런치 단호박 크림 뇨끼: 21,900원
리치 치즈 볼로네제 라자냐: 23,900원
홍가리비 스튜 파스타: 24,900원
시그니처 빅 플래터: 79,000원
BBQ 폭립 플래터: 43,900원
티본 스테이크 (850g): 179,000원
본인립아이 스테이크 (500g): 119,000원
비프 온더 스톤 안심 (170g): 47,900원
비프 온더 스톤 채끝등심 (170g): 39,900원
비프 온더 스톤 부채살 (210g): 36,900원
새우 날치알 크림 스파게티: 20,900원
해산물 토마토 스파게티: 22,900원
해산물 치오피노 스파게티: 23,900원
봉골레 가리비 스파게티: 23,900원
로얄 까르보나라 스파게티: 19,900원
크림 볼로네제 스파게티: 19,900원
감태페스토 전복 리조또: 25,900원
갈비 리조또: 26,900원
트러플 크림 리조또: 22,900원
마르게리따 피자: 18,900원
고르곤졸라 피자: 18,900원
트러플 풍기 피자: 18,900원
과카몰리 치킨 샐러드: 17,900원
새우 버섯 샐러드: 18,900원
버팔로윙 & 프렌치 프라이즈: 16,900원
트러플 프렌치 프라이즈: 10,900원
스위트 포테이토 프라이즈: 10,900원
양송이 스프: 6,900원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    }
}"
비밀 시그니쳐,"서울특별시 구로구 경인로 662 현대백화점 디큐브시티점 6층 비밀 시그니처 지번
지도보기",0507-1440-2234,"신 루꼴라 피자: 23,000원
문어 매콤 로제 파스타: 24,000원
시금치 크림 쉬림프 파스타: 19,000원
B Meal 브런치 플래터: 18,000원
훈제 연어 샐러드: 17,500원
치킨 시저 샐러드: 16,500원
리코타 치즈 샐러드: 15,500원
슈퍼 슈프림 피자: 22,000원
씬 페퍼로니 피자: 21,500원
씬 갈릭 치즈 피자: 21,000원
씬 고르곤졸라 피자: 21,000원
로얄 스테이크 크림 파스타: 25,000원
빠네 쉬림프(크림or로제): 22,000원
해물 누룽지 파스타: 20,000원
전복 감태 오일 파스타: 22,000원
매콤 해산물 토마토 파스타: 18,500원
모짜렐라 토마토 파스타: 17,000원
명란 오일 파스타: 17,000원
까르보나라: 17,000원
베지테리언 오일 파스타: 16,000원
전복 리조또: 21,000원
먹물 크림 해산물 리조또: 19,000원
브리치즈 새우 크림 리조또: 18,500원
갈릭 치킨 로제 그라탕: 18,500원
라구 토마토 리조또: 17,500원
베이컨 버섯 치즈 필라프: 16,500원
신 루꼴라 피자: 23,000원
문어 매콤 로제 파스타: 24,000원
시금치 크림 쉬림프 파스타: 19,000원
B Meal 브런치 플래터: 18,000원
훈제 연어 샐러드: 17,500원
치킨 시저 샐러드: 16,500원
리코타 치즈 샐러드: 15,500원
슈퍼 슈프림 피자: 22,000원
씬 페퍼로니 피자: 21,500원
씬 갈릭 치즈 피자: 21,000원
씬 고르곤졸라 피자: 21,000원
로얄 스테이크 크림 파스타: 25,000원
빠네 쉬림프(크림or로제): 22,000원
해물 누룽지 파스타: 20,000원
전복 감태 오일 파스타: 22,000원
매콤 해산물 토마토 파스타: 18,500원
모짜렐라 토마토 파스타: 17,000원
명란 오일 파스타: 17,000원
까르보나라: 17,000원
베지테리언 오일 파스타: 16,000원
전복 리조또: 21,000원
먹물 크림 해산물 리조또: 19,000원
브리치즈 새우 크림 리조또: 18,500원
갈릭 치킨 로제 그라탕: 18,500원
라구 토마토 리조또: 17,500원
베이컨 버섯 치즈 필라프: 16,500원","{
    ""월"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
메이비,"서울특별시 구로구 디지털로32나길 51 1층 메이비 지번
지도보기",02-859-3073,"알리오올리오: 13,000원
엔쵸비 바질 파스타: 14,500원
버터밀크팬케익: 15,000원
컬러풀 토마토 리코타 샐러드: 15,500원
연어 그라브락스 에그베네딕트: 21,000원
함박 스테이크 브런치: 18,000원
스파이시 까르보 함박: 21,000원
치폴레 치킨 샌드위치: 15,500원
데일리 브런치: 17,500원
시금치 랜치 피자: 24,000원
화이트라구: 15,500원
아보카도 쉬림프 샐러드: 16,500원
트리플치즈피자: 25,000원
알리오올리오: 13,000원
엔쵸비 바질 파스타: 14,500원
버터밀크팬케익: 15,000원
컬러풀 토마토 리코타 샐러드: 15,500원
연어 그라브락스 에그베네딕트: 21,000원
함박 스테이크 브런치: 18,000원
스파이시 까르보 함박: 21,000원
치폴레 치킨 샌드위치: 15,500원
데일리 브런치: 17,500원
시금치 랜치 피자: 24,000원
화이트라구: 15,500원
아보카도 쉬림프 샐러드: 16,500원
트리플치즈피자: 25,000원","{
    ""월"": {
        ""영업시간"": ""08:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""화"": {
        ""영업시간"": ""08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:15""
    },
    ""수"": {
        ""영업시간"": ""08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:15""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:15""
    },
    ""금"": {
        ""영업시간"": ""08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:15""
    },
    ""토"": {
        ""영업시간"": ""08:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""일"": {
        ""영업시간"": ""08:30 - 21:45"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    }
}"
크랩프트,"서울특별시 구로구 공원로6나길 26 201호 지번
지도보기",0507-1322-0995,"쉬림프 샐러드 피자: 27,000원
숯불 불닭발피자: 27,000원
디아블로파스타: 13,500원
크림파스타: 13,500원
상큼샐러드: 9,000원
타코야끼 (15p): 13,000원
오븐에구운 먹태: 16,000원
오븐에구운 아귀포: 15,000원
치킨가라아게: 16,000원
감자튀김 메가크런치: 9,000원
파인애플 샤베트: 9,000원
소불고기피자: 25,000원
닭발인더헬(숯불닭발스튜): 26,000원
매콤로제파스타: 14,500원
쫀득조청감튀: 16,000원
베이컨 피자: 23,000원
메가크런치 감튀피자: 21,000원
페퍼로니피자: 21,000원
치즈 피자: 17,000원
쉬림프 샐러드 피자: 27,000원
숯불 불닭발피자: 27,000원
디아블로파스타: 13,500원
크림파스타: 13,500원
상큼샐러드: 9,000원
타코야끼 (15p): 13,000원
오븐에구운 먹태: 16,000원
오븐에구운 아귀포: 15,000원
치킨가라아게: 16,000원
감자튀김 메가크런치: 9,000원
파인애플 샤베트: 9,000원
소불고기피자: 25,000원
닭발인더헬(숯불닭발스튜): 26,000원
매콤로제파스타: 14,500원
쫀득조청감튀: 16,000원
베이컨 피자: 23,000원
메가크런치 감튀피자: 21,000원
페퍼로니피자: 21,000원
치즈 피자: 17,000원","{
    ""월"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
