이름,주소,전화번호,메뉴,영업시간
오성초밥,"경기도 광명시 오리로 933-1 지번
지도보기",02-2616-5550,"모듬초밥: 17,000원
오늘의초밥: 15,000원
스폐셜초밥: 21,000원
오성특초밥: 25,000원
VIP 초밥: 28,000원
활생선모듬초밥: 23,000원
새우모듬초밥: 20,000원
광어초밥: 21,000원
그릴 불초밥: 20,000원
꽃등심초밥: 21,000원
연어초밥: 21,000원
치즈새우불초밥: 19,000원
왕새우초밥: 17,000원
광어+참치초밥: 21,000원
연어+꽃등심초밥: 21,000원
참치+왕새우초밥: 21,000원
광어+생연어초밥: 21,000원
광어+왕새우초밥: 21,000원
모듬사시미 2인: 48,000원
모듬사시미 3인: 68,000원
모듬사시미 4인: 85,000원
생연어회(1인): 26,000원
우동: 6,000원
알밥: 7,000원
캘리포이나롤: 11,000원
연어롤: 15,000원
수제안심돈까스: 10,000원
활광어회덮밥: 15,000원
연어회덮밥: 13,000원
싱싱회덮밥: 10,000원
미니사시미(1인): 26,000원
생연어회(2인): 38,000원
활광어회: 48,000원
활광어+생연어회: 48,000원
참치사시미: 48,000원
참치+꽃등심초밥: 21,000원
연어+치즈새우불초밥: 21,000원
연어+장새우초밥: 21,000원
연어+왕새우초밥: 21,000원
연어+참치초밥: 21,000원
참치초밥: 18,000원
모듬초밥: 17,000원
오늘의초밥: 15,000원
스폐셜초밥: 21,000원
오성특초밥: 25,000원
VIP 초밥: 28,000원
활생선모듬초밥: 23,000원
새우모듬초밥: 20,000원
광어초밥: 21,000원
그릴 불초밥: 20,000원
꽃등심초밥: 21,000원
연어초밥: 21,000원
치즈새우불초밥: 19,000원
왕새우초밥: 17,000원
광어+참치초밥: 21,000원
연어+꽃등심초밥: 21,000원
참치+왕새우초밥: 21,000원
광어+생연어초밥: 21,000원
광어+왕새우초밥: 21,000원
모듬사시미 2인: 48,000원
모듬사시미 3인: 68,000원
모듬사시미 4인: 85,000원
생연어회(1인): 26,000원
우동: 6,000원
알밥: 7,000원
캘리포이나롤: 11,000원
연어롤: 15,000원
수제안심돈까스: 10,000원
활광어회덮밥: 15,000원
연어회덮밥: 13,000원
싱싱회덮밥: 10,000원
미니사시미(1인): 26,000원
생연어회(2인): 38,000원
활광어회: 48,000원
활광어+생연어회: 48,000원
참치사시미: 48,000원
참치+꽃등심초밥: 21,000원
연어+치즈새우불초밥: 21,000원
연어+장새우초밥: 21,000원
연어+왕새우초밥: 21,000원
연어+참치초밥: 21,000원
참치초밥: 18,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    }
}"
김수언스시,"경기도 광명시 소하로 81 아이플랙스 2층 201호 지번
지도보기",0507-1408-5115,"회덮밥: 11,000원
런치세트: 19,000원
A set: 22,000원
B세트: 27,000원
C세트: 30,000원
스페셜 set: 39,000원
생연어초밥(11pcs): 21,500원
흰살생선초밥: 23,000원
소고기초밥(11ps): 21,000원
모듬사시미: 65,000원
조림: 13,000원
새우튀김: 6,000원
우동: 8,000원
등심돈까스: 10,000원
회덮밥: 11,000원
런치세트: 19,000원
A set: 22,000원
B세트: 27,000원
C세트: 30,000원
스페셜 set: 39,000원
생연어초밥(11pcs): 21,500원
흰살생선초밥: 23,000원
소고기초밥(11ps): 21,000원
모듬사시미: 65,000원
조림: 13,000원
새우튀김: 6,000원
우동: 8,000원
등심돈까스: 10,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 22:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    }
}"
박가,"경기도 광명시 오리로854번길 8 다산캣츠빌딩 401호 지번
지도보기",02-2681-1072,"참치회정식 송: 55,000원
돈까스: 12,000원
장어 덮밥: 50,000원
오야꼬동: 13,000원
가스동(돈까스 덮밥): 12,000원
히레까스: 12,000원
해물라면: 17,000원
굴후라이: 12,000원
생선후라이: 12,000원
새우후라이: 38,000원
가스카레: 15,000원
비프카레: 16,000원
야채카레: 11,000원
해물카레: 15,000원
낫또백반: 10,000원
야채볶음: 12,000원
굴.새우(후라이)덮밥: 14,000원
차슈멘(삼겹살라면): 18,000원
파닭고기라면: 15,000원
숙주라면: 11,000원
간장라면: 11,000원
파라면(신): 12,000원
미소라면: 13,000원
냉라면(신없음): 14,000원
참치초밥 1인분 스페셜: 90,000원
참치초밥 1인분 특: 65,000원
참치초밥 1인분 송: 55,000원
생선초밥 1인분 스페셜: 70,000원
생선초밥 1인분 특: 52,000원
장어초밥 1인분: 50,000원
참치회정식 1인분 스페셜: 85,000원
참치회정식 1인분 특: 65,000원
생선회정식 1인분 특: 52,000원
카게우동: 7,000원
유부우동: 9,000원
오뎅우동: 9,000원
버섯우동: 9,000원
해물우동: 16,000원
닭고기 카레난빈: 13,000원
냉소바: 11,000원
자루소바: 9,000원
소바사리: 5,000원
카케소바: 7,000원
유부소바: 9,000원
오뎅소바: 9,000원
버섯소바: 9,000원
닭고기소바: 12,000원
참치회정식 송: 55,000원
돈까스: 12,000원
장어 덮밥: 50,000원
오야꼬동: 13,000원
가스동(돈까스 덮밥): 12,000원
히레까스: 12,000원
해물라면: 17,000원
굴후라이: 12,000원
생선후라이: 12,000원
새우후라이: 38,000원
가스카레: 15,000원
비프카레: 16,000원
야채카레: 11,000원
해물카레: 15,000원
낫또백반: 10,000원
야채볶음: 12,000원
굴.새우(후라이)덮밥: 14,000원
차슈멘(삼겹살라면): 18,000원
파닭고기라면: 15,000원
숙주라면: 11,000원
간장라면: 11,000원
파라면(신): 12,000원
미소라면: 13,000원
냉라면(신없음): 14,000원
참치초밥 1인분 스페셜: 90,000원
참치초밥 1인분 특: 65,000원
참치초밥 1인분 송: 55,000원
생선초밥 1인분 스페셜: 70,000원
생선초밥 1인분 특: 52,000원
장어초밥 1인분: 50,000원
참치회정식 1인분 스페셜: 85,000원
참치회정식 1인분 특: 65,000원
생선회정식 1인분 특: 52,000원
카게우동: 7,000원
유부우동: 9,000원
오뎅우동: 9,000원
버섯우동: 9,000원
해물우동: 16,000원
닭고기 카레난빈: 13,000원
냉소바: 11,000원
자루소바: 9,000원
소바사리: 5,000원
카케소바: 7,000원
유부소바: 9,000원
오뎅소바: 9,000원
버섯소바: 9,000원
닭고기소바: 12,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
리유라멘,"경기도 광명시 시청로 9 유홍기사무소 옆 지번
지도보기",0507-1394-8913,"리유라멘: 9,500원
매운 리유라멘: 9,500원
마제소바: 10,000원
시루나시탄탄멘: 10,000원
니보시 아부라소바: 10,500원
특제간장계란밥: 3,500원
특제간장고기밥: 3,500원
테라(캔) 355ml: 4,000원
리유라멘: 9,500원
매운 리유라멘: 9,500원
마제소바: 10,000원
시루나시탄탄멘: 10,000원
니보시 아부라소바: 10,500원
특제간장계란밥: 3,500원
특제간장고기밥: 3,500원
테라(캔) 355ml: 4,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 20:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:00""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:00""
    }
}"
회랑게랑 광명역점,"경기도 광명시 일직로 28 지번
지도보기",0507-1405-7414,"(런치)초밥정식: 18,000원
(런치) 스페셜 정식: 23,000원
(사시미 코스) 스페셜 코스: 48,000원
(비즈니스 코스)쉐프 추천 사시미: 68,000원
(런치) 회 정식: 18,000원
(런치) 프리미엄 정식: 30,000원
(사시미 코스) 베이직 코스: 38,000원
(사시미 코스) 살몬 코스: 45,000원
(혼마구로) 고급 참치 코스: 75,000원
(크랩) 대게 코스: 
(런치)초밥정식: 18,000원
(런치) 스페셜 정식: 23,000원
(사시미 코스) 스페셜 코스: 48,000원
(비즈니스 코스)쉐프 추천 사시미: 68,000원
(런치) 회 정식: 18,000원
(런치) 프리미엄 정식: 30,000원
(사시미 코스) 베이직 코스: 38,000원
(사시미 코스) 살몬 코스: 45,000원
(혼마구로) 고급 참치 코스: 75,000원
(크랩) 대게 코스: ","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    }
}"
긴자료코 광명역점,"경기도 광명시 양지로 11 유플래닛 A동 107호 지번
지도보기",02-897-9888,"데미그라스돈까스: 10,500원
사케동: 13,000원
데미그라스돈까스세트: 14,500원
명란크림우동: 10,000원
머슈룸데미그라스돈까스: 12,000원
데미그라스돈까스함박세트: 13,500원
데미그라스함박스테이크: 15,500원
에비동(새우4마리): 12,000원
가츠동(돈까스덮밥): 8,500원
오야꼬동(치킨덮밥): 8,500원
규동(소고기덮밥): 8,000원
소고기매콤카레라이스: 8,000원
불맛카레라이스: 8,500원
고로케카레라이스: 9,000원
치킨카레라이스: 9,500원
왕새우카레라이스: 11,000원
가츠소고기카레라이스: 9,500원
매콤카레우동: 9,000원
불맛카레우동: 9,500원
치킨카레우동: 10,000원
투움바파스타우동: 12,000원
베이컨크림우동: 11,000원
로제파스타우동: 10,000원
매콤토마토파스타우동: 9,500원
토마토파스타우동: 9,000원
소고기우동스끼야끼: 13,000원
치쿠와우동: 9,500원
왕새우튀김우동: 13,000원
붓카케우동: 8,500원
새우붓카케우동: 11,000원
샐러드우동: 8,000원
닭가슴살샐러드우동: 10,000원
데미그라스돈까스: 10,500원
사케동: 13,000원
데미그라스돈까스세트: 14,500원
명란크림우동: 10,000원
머슈룸데미그라스돈까스: 12,000원
데미그라스돈까스함박세트: 13,500원
데미그라스함박스테이크: 15,500원
에비동(새우4마리): 12,000원
가츠동(돈까스덮밥): 8,500원
오야꼬동(치킨덮밥): 8,500원
규동(소고기덮밥): 8,000원
소고기매콤카레라이스: 8,000원
불맛카레라이스: 8,500원
고로케카레라이스: 9,000원
치킨카레라이스: 9,500원
왕새우카레라이스: 11,000원
가츠소고기카레라이스: 9,500원
매콤카레우동: 9,000원
불맛카레우동: 9,500원
치킨카레우동: 10,000원
투움바파스타우동: 12,000원
베이컨크림우동: 11,000원
로제파스타우동: 10,000원
매콤토마토파스타우동: 9,500원
토마토파스타우동: 9,000원
소고기우동스끼야끼: 13,000원
치쿠와우동: 9,500원
왕새우튀김우동: 13,000원
붓카케우동: 8,500원
새우붓카케우동: 11,000원
샐러드우동: 8,000원
닭가슴살샐러드우동: 10,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    }
}"
카바야키톤,"경기도 광명시 오리로651번길 8 103, 104, 105호 지번
지도보기",0507-1350-4317,"일본식 돼지가르비(갈비): 25,000원
타마고라이스: 7,000원
특삼겹 야키톤: 7,500원
상목살 야키톤: 7,000원
부타에그 호소마끼: 8,000원
명란오이감태: 17,000원
부타오코노미야끼: 16,000원
해물쟌폰(짬뽕)탕: 27,000원
본매로우트러플파스타: 21,000원
한우깻잎육회: 12,000원
카바 돈코츠라멘: 9,000원
야키톤(항정)2pcs: 7,000원
야키톤(뽈살)2pcs: 7,000원
야키톤(돈설)2pcs: 7,000원
야키톤(울대)2pcs: 7,000원
야키톤(허파)2pcs: 5,000원
카바본카츠: 23,900원
카바 라구 파스타: 16,000원
오뎅전골: 27,000원
부타동: 9,000원
하게낫또: 8,000원
삿뽀로 생맥주 400ml: 9,000원
딸기탕후루하이볼: 13,000원
샤인머스켓탕후루하이볼: 13,000원
귤탕후루하이볼: 13,000원
한라봉하이볼: 9,000원
스트로베리하이볼: 9,000원
샤인머스켓하이볼: 9,000원
피치하이볼: 9,000원
얼그레이하이볼: 9,000원
자몽하이볼: 9,000원
카바하이볼: 8,000원
일본식 돼지가르비(갈비): 25,000원
타마고라이스: 7,000원
특삼겹 야키톤: 7,500원
상목살 야키톤: 7,000원
부타에그 호소마끼: 8,000원
명란오이감태: 17,000원
부타오코노미야끼: 16,000원
해물쟌폰(짬뽕)탕: 27,000원
본매로우트러플파스타: 21,000원
한우깻잎육회: 12,000원
카바 돈코츠라멘: 9,000원
야키톤(항정)2pcs: 7,000원
야키톤(뽈살)2pcs: 7,000원
야키톤(돈설)2pcs: 7,000원
야키톤(울대)2pcs: 7,000원
야키톤(허파)2pcs: 5,000원
카바본카츠: 23,900원
카바 라구 파스타: 16,000원
오뎅전골: 27,000원
부타동: 9,000원
하게낫또: 8,000원
삿뽀로 생맥주 400ml: 9,000원
딸기탕후루하이볼: 13,000원
샤인머스켓탕후루하이볼: 13,000원
귤탕후루하이볼: 13,000원
한라봉하이볼: 9,000원
스트로베리하이볼: 9,000원
샤인머스켓하이볼: 9,000원
피치하이볼: 9,000원
얼그레이하이볼: 9,000원
자몽하이볼: 9,000원
카바하이볼: 8,000원","{
    ""월"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
스시웨이,"경기도 광명시 가림일로 80 로즈힐빌딩3층 지번
지도보기",02-2616-3774,"초밥B세트: 33,000원
추천초밥세트: 42,000원
초밥A세트: 23,000원
런치초밥: 17,000원
왕새우튀김 - 5pcs: 12,000원
Chef추천초밥(포장)-15pcs: 27,000원
특모듬초밥(포장)-15pcs: 23,000원
모듬초밥(포장)-12pcs: 19,000원
생연어초밥(포장) - 10pcs: 25,000원
어린이초밥(포장) - 10pcs: 9,000원
초밥B세트: 33,000원
추천초밥세트: 42,000원
초밥A세트: 23,000원
런치초밥: 17,000원
왕새우튀김 - 5pcs: 12,000원
Chef추천초밥(포장)-15pcs: 27,000원
특모듬초밥(포장)-15pcs: 23,000원
모듬초밥(포장)-12pcs: 19,000원
생연어초밥(포장) - 10pcs: 25,000원
어린이초밥(포장) - 10pcs: 9,000원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""휴무일""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""휴무일""
    },
    ""금"": {
        ""영업시간"": ""휴무일""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""23:55 - 00:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
기찬스시,"경기도 광명시 소하로 109 지번
지도보기",0507-1339-0666,"모듬 사시미: 55,000원
런치초밥: 13,000원
기찬초밥: 17,000원
오늘의초밥: 20,000원
1미터초밥: 30,000원
모듬 사시미: 55,000원
런치초밥: 13,000원
기찬초밥: 17,000원
오늘의초밥: 20,000원
1미터초밥: 30,000원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
코지,"경기도 광명시 하안로287번길 5 지번
지도보기",0507-1416-9041,"돈카츠: 10,500원
사케동: 19,000원
왕새우튀김(1개): 2,000원
카레: 2,500원
단호박 샐러드: 1,000원
양배추 샐러드: 500원
연어초밥: 22,000원
돈카츠 카레: 12,500원
감자고로케 카레: 9,500원
에비 카레: 9,500원
치킨카츠: 10,500원
스끼야끼: 14,000원
음료: 2,500원
감자고로케(3개): 4,000원
돈카츠: 10,500원
사케동: 19,000원
왕새우튀김(1개): 2,000원
카레: 2,500원
단호박 샐러드: 1,000원
양배추 샐러드: 500원
연어초밥: 22,000원
돈카츠 카레: 12,500원
감자고로케 카레: 9,500원
에비 카레: 9,500원
치킨카츠: 10,500원
스끼야끼: 14,000원
음료: 2,500원
감자고로케(3개): 4,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 20:00"",
        ""브레이크타임"": ""14:00 - 17:30"",
        ""라스트오더"": ""19:55""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 20:00"",
        ""브레이크타임"": ""14:00 - 17:30"",
        ""라스트오더"": ""19:55""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 20:00"",
        ""브레이크타임"": ""14:00 - 17:30"",
        ""라스트오더"": ""19:55""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 20:00"",
        ""브레이크타임"": ""14:00 - 17:30"",
        ""라스트오더"": ""19:55""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 20:00"",
        ""브레이크타임"": ""14:00 - 17:30"",
        ""라스트오더"": ""19:55""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 20:00"",
        ""브레이크타임"": ""14:00 - 17:30"",
        ""라스트오더"": ""19:55""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
