RID,이름,주소,전화번호,메뉴,영업시간
EzN4ExxSXZ4o,삼동소바 광명직영점,"경기도 광명시 밤일로 14 1층 지번
지도보기",0507-1447-3443,"삼동소바(자가제면): 10,000원
삼동정식: 15,000원
비빔소바: 10,000원
카레돈까스덮밥: 11,000원
삼동돈가스 double: 13,000원
삼동떡볶이: 5,500원
온소바정식: 15,000원
우동정식: 15,000원
얼큰우동정식: 15,000원
온소바: 10,000원
사누끼우동: 10,000원
얼큰우동: 10,000원
우육우동: 11,000원
우육소바: 11,000원
매콤우육우동: 11,000원
매콤우육소바: 11,000원
짬뽕순두부우동: 11,000원
짬뽕순두부밥: 11,000원
유부초밥(2개): 4,500원
대게튀김(3개): 4,500원
꾼만두: 4,500원
면추가: 5,000원
모밀육수: 2,000원
삼동소바(자가제면): 10,000원
삼동정식: 15,000원
비빔소바: 10,000원
카레돈까스덮밥: 11,000원
삼동돈가스 double: 13,000원
삼동떡볶이: 5,500원
온소바정식: 15,000원
우동정식: 15,000원
얼큰우동정식: 15,000원
온소바: 10,000원
사누끼우동: 10,000원
얼큰우동: 10,000원
우육우동: 11,000원
우육소바: 11,000원
매콤우육우동: 11,000원
매콤우육소바: 11,000원
짬뽕순두부우동: 11,000원
짬뽕순두부밥: 11,000원
유부초밥(2개): 4,500원
대게튀김(3개): 4,500원
꾼만두: 4,500원
면추가: 5,000원
모밀육수: 2,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:20""
    }
}"
jHh3Qdxw4CtQ,연스시,"경기도 광명시 디지털로33번길 5 지번
지도보기",02-2066-1379,"연초밥 10p: 12,000원
모듬초밥 12p: 16,000원
연어초밥 10p: 18,000원
광어초밥 10p: 18,000원
회덮밥: 10,000원
연초밥 10p: 12,000원
모듬초밥 12p: 16,000원
연어초밥 10p: 18,000원
광어초밥 10p: 18,000원
회덮밥: 10,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
djxVhMTBK1SO,박가,"경기도 광명시 오리로854번길 8 다산캣츠빌딩 401호 지번
지도보기",02-2681-1072,"참치회정식 송: 55,000원
돈까스: 12,000원
가스카레: 15,000원
비프카레: 16,000원
야채카레: 11,000원
해물카레: 15,000원
낫또백반: 10,000원
야채볶음: 12,000원
굴.새우(후라이)덮밥: 14,000원
차슈멘(삼겹살라면): 18,000원
파닭고기라면: 15,000원
숙주라면: 11,000원
장어 덮밥: 50,000원
간장라면: 11,000원
파라면(신): 12,000원
미소라면: 13,000원
냉라면(신없음): 14,000원
참치초밥 1인분 스페셜: 90,000원
참치초밥 1인분 특: 65,000원
참치초밥 1인분 송: 55,000원
생선초밥 1인분 스페셜: 70,000원
생선초밥 1인분 특: 52,000원
장어초밥 1인분: 50,000원
오야꼬동: 13,000원
참치회정식 1인분 스페셜: 85,000원
참치회정식 1인분 특: 65,000원
생선회정식 1인분 특: 52,000원
카게우동: 7,000원
유부우동: 9,000원
오뎅우동: 9,000원
버섯우동: 9,000원
해물우동: 16,000원
닭고기 카레난빈: 13,000원
냉소바: 11,000원
가스동(돈까스 덮밥): 12,000원
자루소바: 9,000원
소바사리: 5,000원
카케소바: 7,000원
유부소바: 9,000원
오뎅소바: 9,000원
버섯소바: 9,000원
닭고기소바: 12,000원
히레까스: 12,000원
해물라면: 17,000원
굴후라이: 12,000원
생선후라이: 12,000원
새우후라이: 38,000원
참치회정식 송: 55,000원
돈까스: 12,000원
가스카레: 15,000원
비프카레: 16,000원
야채카레: 11,000원
해물카레: 15,000원
낫또백반: 10,000원
야채볶음: 12,000원
굴.새우(후라이)덮밥: 14,000원
차슈멘(삼겹살라면): 18,000원
파닭고기라면: 15,000원
숙주라면: 11,000원
장어 덮밥: 50,000원
간장라면: 11,000원
파라면(신): 12,000원
미소라면: 13,000원
냉라면(신없음): 14,000원
참치초밥 1인분 스페셜: 90,000원
참치초밥 1인분 특: 65,000원
참치초밥 1인분 송: 55,000원
생선초밥 1인분 스페셜: 70,000원
생선초밥 1인분 특: 52,000원
장어초밥 1인분: 50,000원
오야꼬동: 13,000원
참치회정식 1인분 스페셜: 85,000원
참치회정식 1인분 특: 65,000원
생선회정식 1인분 특: 52,000원
카게우동: 7,000원
유부우동: 9,000원
오뎅우동: 9,000원
버섯우동: 9,000원
해물우동: 16,000원
닭고기 카레난빈: 13,000원
냉소바: 11,000원
가스동(돈까스 덮밥): 12,000원
자루소바: 9,000원
소바사리: 5,000원
카케소바: 7,000원
유부소바: 9,000원
오뎅소바: 9,000원
버섯소바: 9,000원
닭고기소바: 12,000원
히레까스: 12,000원
해물라면: 17,000원
굴후라이: 12,000원
생선후라이: 12,000원
새우후라이: 38,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""목"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:15""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
WpWTl3Q5QGZG,회랑게랑 광명역점,"경기도 광명시 일직로 28 지번
지도보기",0507-1405-7414,"(런치)초밥정식: 18,000원
(런치) 스페셜 정식: 23,000원
(사시미 코스) 스페셜 코스: 48,000원
(비즈니스 코스)쉐프 추천 사시미: 68,000원
(런치) 회 정식: 18,000원
(런치) 프리미엄 정식: 30,000원
(사시미 코스) 베이직 코스: 38,000원
(사시미 코스) 살몬 코스: 45,000원
(혼마구로) 고급 참치 코스: 75,000원
(크랩) 대게 코스: 
(런치)초밥정식: 18,000원
(런치) 스페셜 정식: 23,000원
(사시미 코스) 스페셜 코스: 48,000원
(비즈니스 코스)쉐프 추천 사시미: 68,000원
(런치) 회 정식: 18,000원
(런치) 프리미엄 정식: 30,000원
(사시미 코스) 베이직 코스: 38,000원
(사시미 코스) 살몬 코스: 45,000원
(혼마구로) 고급 참치 코스: 75,000원
(크랩) 대게 코스: ","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""20:40""
    }
}"
zNKbrLhfK5YV,스시다다,"경기도 광명시 철산로30번길 5 기린빌딩 2층 201호 스시다다 지번
지도보기",02-2135-5232,"런치 1부 오후 12:00 ~1:30: 39,000원
런치 2부 오후1:30~3:00: 39,000원
디너 1부 오후 6:00 ~ 8:00: 59,000원
디너 2부 오후8:00 ~ 10:00: 59,000원
런치 1부 오후 12:00 ~1:30: 39,000원
런치 2부 오후1:30~3:00: 39,000원
디너 1부 오후 6:00 ~ 8:00: 59,000원
디너 2부 오후8:00 ~ 10:00: 59,000원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""휴무일""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
sBzpIIncMulk,긴자 광명점,"경기도 광명시 밤일안로 41 2층 지번
지도보기",02-899-5502,"[점심] 점심 정식: 26,000원
[점심] 점심 코스: 35,000원
[주말] 어린이돈까스 세트: 18,000원
[점심 단품] 김치 대구탕: 15,000원
[점심 단품] 매생이 전복죽: 18,000원
[점심 단품] 활어 회덮밥: 25,000원
[점심 단품] 초밥 정식: 29,000원
[점심 단품] 물회 소바 정식: 35,000원
[긴자 초밥] 모둠 초밥: 25,000원
[긴자 초밥] 활어 초밥: 28,000원
[긴자 초밥] 특 초밥: 38,000원
[긴자 초밥] 프리미엄 초밥: 54,000원
[점심] 점심 스페셜: 55,000원
[일품요리] 活통전복죽: 25,000원
[일품요리] 모둠튀김: 30,000원
[일품요리] 활어회무침: 35,000원
[일품요리] 아라다께(조림): 50,000원
[일품요리] 모둠사시미 (12p): 40,000원
[일품요리] 모둠사시미 (18p): 60,000원
[일품요리] 참치모둠사시미: 60,000원
[저녁] 저녁 정식: 39,000원
[저녁]사시미 코스: 59,000원
[저녁 사시미 스페셜: 89,000원
[저녁] 밸류 스페셜: 130,000원
[주말] 주말 가족 정식: 35,000원
[주말] 주말 가족 코스: 45,000원
[주말] 주말 가족 스페셜: 65,000원
[점심] 점심 정식: 26,000원
[점심] 점심 코스: 35,000원
[주말] 어린이돈까스 세트: 18,000원
[점심 단품] 김치 대구탕: 15,000원
[점심 단품] 매생이 전복죽: 18,000원
[점심 단품] 활어 회덮밥: 25,000원
[점심 단품] 초밥 정식: 29,000원
[점심 단품] 물회 소바 정식: 35,000원
[긴자 초밥] 모둠 초밥: 25,000원
[긴자 초밥] 활어 초밥: 28,000원
[긴자 초밥] 특 초밥: 38,000원
[긴자 초밥] 프리미엄 초밥: 54,000원
[점심] 점심 스페셜: 55,000원
[일품요리] 活통전복죽: 25,000원
[일품요리] 모둠튀김: 30,000원
[일품요리] 활어회무침: 35,000원
[일품요리] 아라다께(조림): 50,000원
[일품요리] 모둠사시미 (12p): 40,000원
[일품요리] 모둠사시미 (18p): 60,000원
[일품요리] 참치모둠사시미: 60,000원
[저녁] 저녁 정식: 39,000원
[저녁]사시미 코스: 59,000원
[저녁 사시미 스페셜: 89,000원
[저녁] 밸류 스페셜: 130,000원
[주말] 주말 가족 정식: 35,000원
[주말] 주말 가족 코스: 45,000원
[주말] 주말 가족 스페셜: 65,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
mvK9nT7Lorsk,오성초밥,"경기도 광명시 오리로 933-1 지번
지도보기",02-2616-5550,"모듬초밥: 17,000원
오늘의초밥: 15,000원
연어초밥: 21,000원
치즈새우불초밥: 19,000원
왕새우초밥: 17,000원
광어+참치초밥: 21,000원
연어+꽃등심초밥: 21,000원
참치+왕새우초밥: 21,000원
광어+생연어초밥: 21,000원
광어+왕새우초밥: 21,000원
모듬사시미 2인: 48,000원
스폐셜초밥: 21,000원
모듬사시미 3인: 68,000원
모듬사시미 4인: 85,000원
생연어회(1인): 26,000원
우동: 6,000원
알밥: 7,000원
캘리포이나롤: 11,000원
연어롤: 15,000원
수제안심돈까스: 10,000원
활광어회덮밥: 15,000원
연어회덮밥: 13,000원
오성특초밥: 25,000원
싱싱회덮밥: 10,000원
미니사시미(1인): 26,000원
생연어회(2인): 38,000원
활광어회: 48,000원
활광어+생연어회: 48,000원
참치사시미: 48,000원
참치+꽃등심초밥: 21,000원
연어+치즈새우불초밥: 21,000원
연어+장새우초밥: 21,000원
연어+왕새우초밥: 21,000원
VIP 초밥: 28,000원
연어+참치초밥: 21,000원
광어초밥: 21,000원
참치초밥: 18,000원
그릴 불초밥: 20,000원
활생선모듬초밥: 23,000원
새우모듬초밥: 20,000원
꽃등심초밥: 21,000원
모듬초밥: 17,000원
오늘의초밥: 15,000원
연어초밥: 21,000원
치즈새우불초밥: 19,000원
왕새우초밥: 17,000원
광어+참치초밥: 21,000원
연어+꽃등심초밥: 21,000원
참치+왕새우초밥: 21,000원
광어+생연어초밥: 21,000원
광어+왕새우초밥: 21,000원
모듬사시미 2인: 48,000원
스폐셜초밥: 21,000원
모듬사시미 3인: 68,000원
모듬사시미 4인: 85,000원
생연어회(1인): 26,000원
우동: 6,000원
알밥: 7,000원
캘리포이나롤: 11,000원
연어롤: 15,000원
수제안심돈까스: 10,000원
활광어회덮밥: 15,000원
연어회덮밥: 13,000원
오성특초밥: 25,000원
싱싱회덮밥: 10,000원
미니사시미(1인): 26,000원
생연어회(2인): 38,000원
활광어회: 48,000원
활광어+생연어회: 48,000원
참치사시미: 48,000원
참치+꽃등심초밥: 21,000원
연어+치즈새우불초밥: 21,000원
연어+장새우초밥: 21,000원
연어+왕새우초밥: 21,000원
VIP 초밥: 28,000원
연어+참치초밥: 21,000원
광어초밥: 21,000원
참치초밥: 18,000원
그릴 불초밥: 20,000원
활생선모듬초밥: 23,000원
새우모듬초밥: 20,000원
꽃등심초밥: 21,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""목"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:50""
    }
}"
HXXSa3W0t5rW,스시웨이,"경기도 광명시 가림일로 80 로즈힐빌딩3층 지번
지도보기",02-2616-3774,"초밥B세트: 33,000원
추천초밥세트: 42,000원
초밥A세트: 23,000원
런치초밥: 17,000원
왕새우튀김 - 5pcs: 12,000원
Chef추천초밥(포장)-15pcs: 27,000원
특모듬초밥(포장)-15pcs: 23,000원
모듬초밥(포장)-12pcs: 19,000원
생연어초밥(포장) - 10pcs: 25,000원
어린이초밥(포장) - 10pcs: 9,000원
초밥B세트: 33,000원
추천초밥세트: 42,000원
초밥A세트: 23,000원
런치초밥: 17,000원
왕새우튀김 - 5pcs: 12,000원
Chef추천초밥(포장)-15pcs: 27,000원
특모듬초밥(포장)-15pcs: 23,000원
모듬초밥(포장)-12pcs: 19,000원
생연어초밥(포장) - 10pcs: 25,000원
어린이초밥(포장) - 10pcs: 9,000원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""휴무일""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""휴무일""
    },
    ""금"": {
        ""영업시간"": ""휴무일""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""23:55 - 00:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
Vptmqqo1RL2w,스시153,"경기도 광명시 일직로 22 효성해링턴타워 더퍼스트 2층 지번
지도보기",02-897-0153,"B 세트: 19,000원
커플 세트: 32,000원
B세트: 21,000원
연어초밥+샐러드+미니우동(하절기는 미니모밀): 21,000원
광어초밥+샐러드+미니우동(하절기는 미니모밀): 21,000원
스페셜세트: 26,000원
어린이세트: 9,000원
차돌박이초밥+샐러드+미니우동(하절기는 미니모밀): 20,000원
반반초밥1(광어+연어)샐러드+미니우동(하절기는 모밀): 21,000원
반반초밥2(광어+차돌)+샐러드+미니우동(하절기는 모밀)(1인분): 20,000원
반반초밥3(연어+차돌)+샐러드 +미니우동(하절기는모밀): 20,000원
장어덮밥: 15,000원
런치 세트: 11,000원
후토마끼 2개: 5,000원
후토마끼5개: 12,000원
후토마끼 10개: 22,000원
오도로: 6,000원
참치 아카미: 2,500원
참치갈릭스테이크: 2,500원
연어: 2,200원
연어 아부리: 2,200원
광어: 2,300원
광어 엔가와: 2,500원
A 세트: 15,000원
장어: 2,300원
간장새우: 2,500원
차돌박이: 2,100원
소라: 1,700원
한치: 1,700원
타코와사비: 1,700원
날치알: 1,700원
갈릭새우: 1,400원
유자새우: 1,400원
초새우: 1,400원
혼술 세트: 22,000원
계란말이: 1,100원
유부: 1,100원
고구마 치즈고로케(6PCS): 12,000원
왕새우튀김(8PCS): 16,000원
유린기: 14,000원
단품사시미 1+물회: 50,000원
단품사시미 2: 30,000원
모듬사시미+물회: 50,000원
콜라: 2,000원
사이다: 2,000원
광어회덮밥: 13,000원
환타: 2,000원
모듬사시미: 50,000원
스페셜 세트: 25,000원
커플세트: 34,000원
A세트: 16,000원
B 세트: 19,000원
커플 세트: 32,000원
B세트: 21,000원
연어초밥+샐러드+미니우동(하절기는 미니모밀): 21,000원
광어초밥+샐러드+미니우동(하절기는 미니모밀): 21,000원
스페셜세트: 26,000원
어린이세트: 9,000원
차돌박이초밥+샐러드+미니우동(하절기는 미니모밀): 20,000원
반반초밥1(광어+연어)샐러드+미니우동(하절기는 모밀): 21,000원
반반초밥2(광어+차돌)+샐러드+미니우동(하절기는 모밀)(1인분): 20,000원
반반초밥3(연어+차돌)+샐러드 +미니우동(하절기는모밀): 20,000원
장어덮밥: 15,000원
런치 세트: 11,000원
후토마끼 2개: 5,000원
후토마끼5개: 12,000원
후토마끼 10개: 22,000원
오도로: 6,000원
참치 아카미: 2,500원
참치갈릭스테이크: 2,500원
연어: 2,200원
연어 아부리: 2,200원
광어: 2,300원
광어 엔가와: 2,500원
A 세트: 15,000원
장어: 2,300원
간장새우: 2,500원
차돌박이: 2,100원
소라: 1,700원
한치: 1,700원
타코와사비: 1,700원
날치알: 1,700원
갈릭새우: 1,400원
유자새우: 1,400원
초새우: 1,400원
혼술 세트: 22,000원
계란말이: 1,100원
유부: 1,100원
고구마 치즈고로케(6PCS): 12,000원
왕새우튀김(8PCS): 16,000원
유린기: 14,000원
단품사시미 1+물회: 50,000원
단품사시미 2: 30,000원
모듬사시미+물회: 50,000원
콜라: 2,000원
사이다: 2,000원
광어회덮밥: 13,000원
환타: 2,000원
모듬사시미: 50,000원
스페셜 세트: 25,000원
커플세트: 34,000원
A세트: 16,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
QnN6Qd631HkT,카바야키톤,"경기도 광명시 오리로651번길 8 103, 104, 105호 지번
지도보기",0507-1350-4317,"일본식 돼지가르비(갈비): 25,000원
타마고라이스: 7,000원
카바 돈코츠라멘: 9,000원
야키톤(항정)2pcs: 7,000원
야키톤(뽈살)2pcs: 7,000원
야키톤(돈설)2pcs: 7,000원
야키톤(울대)2pcs: 7,000원
야키톤(허파)2pcs: 5,000원
카바본카츠: 23,900원
카바 라구 파스타: 16,000원
오뎅전골: 27,000원
부타동: 9,000원
특삼겹 야키톤: 7,500원
하게낫또: 8,000원
삿뽀로 생맥주 400ml: 9,000원
딸기탕후루하이볼: 13,000원
샤인머스켓탕후루하이볼: 13,000원
귤탕후루하이볼: 13,000원
한라봉하이볼: 9,000원
스트로베리하이볼: 9,000원
샤인머스켓하이볼: 9,000원
피치하이볼: 9,000원
얼그레이하이볼: 9,000원
상목살 야키톤: 7,000원
자몽하이볼: 9,000원
카바하이볼: 8,000원
부타에그 호소마끼: 8,000원
명란오이감태: 17,000원
부타오코노미야끼: 16,000원
해물쟌폰(짬뽕)탕: 27,000원
본매로우트러플파스타: 21,000원
한우깻잎육회: 12,000원
일본식 돼지가르비(갈비): 25,000원
타마고라이스: 7,000원
카바 돈코츠라멘: 9,000원
야키톤(항정)2pcs: 7,000원
야키톤(뽈살)2pcs: 7,000원
야키톤(돈설)2pcs: 7,000원
야키톤(울대)2pcs: 7,000원
야키톤(허파)2pcs: 5,000원
카바본카츠: 23,900원
카바 라구 파스타: 16,000원
오뎅전골: 27,000원
부타동: 9,000원
특삼겹 야키톤: 7,500원
하게낫또: 8,000원
삿뽀로 생맥주 400ml: 9,000원
딸기탕후루하이볼: 13,000원
샤인머스켓탕후루하이볼: 13,000원
귤탕후루하이볼: 13,000원
한라봉하이볼: 9,000원
스트로베리하이볼: 9,000원
샤인머스켓하이볼: 9,000원
피치하이볼: 9,000원
얼그레이하이볼: 9,000원
상목살 야키톤: 7,000원
자몽하이볼: 9,000원
카바하이볼: 8,000원
부타에그 호소마끼: 8,000원
명란오이감태: 17,000원
부타오코노미야끼: 16,000원
해물쟌폰(짬뽕)탕: 27,000원
본매로우트러플파스타: 21,000원
한우깻잎육회: 12,000원","{
    ""월"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""16:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
