RID,이름,주소,전화번호,메뉴,영업시간
DYSWsBQz9FHI,테루,"서울특별시 구로구 구로중앙로 152 6층 테루 지번
지도보기",02-6923-2431,"테루돈카츠정식: 11,900원
더블안심카츠: 12,900원
리얼치즈 돈카츠정식: 12,900원
판소바: 9,900원
알밥: 9,900원
김치우동나베정식: 10,900원
미니돈카츠: 3,900원
미니알밥: 2,500원
테루돈카츠정식: 11,900원
더블안심카츠: 12,900원
리얼치즈 돈카츠정식: 12,900원
판소바: 9,900원
알밥: 9,900원
김치우동나베정식: 10,900원
미니돈카츠: 3,900원
미니알밥: 2,500원","{
    ""월"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
Fl1lzXwvrstw,스시비쇼쿠,"서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리2차 지번
지도보기",0507-1418-1488,"(런치)스시오마카세: 55,000원
(디너)스시오마카세: 100,000원
(디너)사시미오마카세: 120,000원
(런치)스시오마카세: 55,000원
(디너)스시오마카세: 100,000원
(디너)사시미오마카세: 120,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""19:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""19:30""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""19:30""
    },
    ""목"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""19:30""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""19:30""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""15:00 - 18:00"",
        ""라스트오더"": ""19:30""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
YnP1B35WIVJV,시선 구로디지털단지점,"서울특별시 구로구 디지털로32나길 26 1층 지번
지도보기",0507-1424-5110,"소고기스끼야끼: 20,900원
시선모듬사시미: 36,900원
30CM 오코노미야끼: 8,900원
시선 꼬치 5종 OR 7종: 14,900원
광어폭탄물회: 24,900원
치즈카레돈까스: 13,900원
메로구이: 23,900원
매콤게살크림파스타: 9,900원
간사이오뎅탕: 19,900원
광어사시미: 17,900원
모찌리도후: 8,900원
먹태: 12,900원
눈꽃살일품구이: 21,900원
문어가라아게: 12,900원
새우튀김: 9,900원
쿠시카츠: 8,900원
전복버터구이: 11,900원
계란품은타코야끼: 14,900원
통새우치즈퐁듀: 18,900원
명란구이: 12,900원
매콤항정크림파스타: 12,900원
한우1+ 육회와 연어: 24,900원
한우 1+ 육사시미: 19,900원
접시스키야끼: 10,900원
해물치즈떡볶이: 10,900원
게살계란탕: 10,900원
유부김치우동: 10,900원
항정수육스지전골: 24,900원
치즈계란짜게치: 9,900원
고구마프라이즈(감자튀김): 9,900원
소고기스끼야끼: 20,900원
시선모듬사시미: 36,900원
30CM 오코노미야끼: 8,900원
시선 꼬치 5종 OR 7종: 14,900원
광어폭탄물회: 24,900원
치즈카레돈까스: 13,900원
메로구이: 23,900원
매콤게살크림파스타: 9,900원
간사이오뎅탕: 19,900원
광어사시미: 17,900원
모찌리도후: 8,900원
먹태: 12,900원
눈꽃살일품구이: 21,900원
문어가라아게: 12,900원
새우튀김: 9,900원
쿠시카츠: 8,900원
전복버터구이: 11,900원
계란품은타코야끼: 14,900원
통새우치즈퐁듀: 18,900원
명란구이: 12,900원
매콤항정크림파스타: 12,900원
한우1+ 육회와 연어: 24,900원
한우 1+ 육사시미: 19,900원
접시스키야끼: 10,900원
해물치즈떡볶이: 10,900원
게살계란탕: 10,900원
유부김치우동: 10,900원
항정수육스지전골: 24,900원
치즈계란짜게치: 9,900원
고구마프라이즈(감자튀김): 9,900원","{
    ""월"": {
        ""영업시간"": ""15:00 - 06:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""05:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)15:00 - 06:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""05:00""
    },
    ""수"": {
        ""영업시간"": ""15:00 - 06:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""05:00""
    },
    ""목"": {
        ""영업시간"": ""15:00 - 06:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""05:00""
    },
    ""금"": {
        ""영업시간"": ""15:00 - 06:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""05:00""
    },
    ""토"": {
        ""영업시간"": ""15:00 - 06:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""05:00""
    },
    ""일"": {
        ""영업시간"": ""15:00 - 06:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""05:00""
    }
}"
iDbPdstWhKO1,하나마토,"서울특별시 구로구 신도림로11라길 31 1층 지번
지도보기",0507-1380-0808,"야끼토리5종+오뎅5종 세트: 25,000원
야끼토리 5종 (꼬치): 12,000원
계란조림: 4,000원
표고버섯조림: 4,000원
팽이삼겹: 3,500원
베이컨토마토: 3,500원
닭다리살 (2꼬치): 4,000원
닭대파 (2꼬치): 4,000원
닭날개 (2꼬치): 5,600원
오뎅 5종: 15,000원
모츠나베: 18,000원
나가사끼짬뽕: 15,000원
스지 오뎅탕: 15,000원
도리가라아게: 12,000원
타코가라아케: 12,000원
이까게소: 12,000원
콘부스지조림: 10,000원
야끼토리5종+오뎅5종 세트: 25,000원
야끼토리 5종 (꼬치): 12,000원
계란조림: 4,000원
표고버섯조림: 4,000원
팽이삼겹: 3,500원
베이컨토마토: 3,500원
닭다리살 (2꼬치): 4,000원
닭대파 (2꼬치): 4,000원
닭날개 (2꼬치): 5,600원
오뎅 5종: 15,000원
모츠나베: 18,000원
나가사끼짬뽕: 15,000원
스지 오뎅탕: 15,000원
도리가라아게: 12,000원
타코가라아케: 12,000원
이까게소: 12,000원
콘부스지조림: 10,000원","{
    ""월"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""16:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
Ea2uLlPEt4JJ,라꾸긴,"서울특별시 구로구 가마산로 268 지번
지도보기",02-852-1688,"사시미모리: 28,000원
오늘의모듬회: 32,000원
한우타다키: 20,000원
정어리무침: 12,000원
미루가이: 15,000원
쯔마미4종: 22,000원
유부마키: 18,000원
광어우니: 20,000원
활아지나메로우: 15,000원
삼치: 15,000원
참우단: 22,000원
오늘의 조림: 16,000원
한우차돌박육회: 22,000원
아오리이카: 24,000원
폭탄광어: 22,000원
스페셜해물모듬: 22,000원
우니진미: 18,000원
바지락술찜: 14,000원
미소나베: 17,000원
스키야키: 15,000원
사시미모리: 28,000원
오늘의모듬회: 32,000원
한우타다키: 20,000원
정어리무침: 12,000원
미루가이: 15,000원
쯔마미4종: 22,000원
유부마키: 18,000원
광어우니: 20,000원
활아지나메로우: 15,000원
삼치: 15,000원
참우단: 22,000원
오늘의 조림: 16,000원
한우차돌박육회: 22,000원
아오리이카: 24,000원
폭탄광어: 22,000원
스페셜해물모듬: 22,000원
우니진미: 18,000원
바지락술찜: 14,000원
미소나베: 17,000원
스키야키: 15,000원","{
    ""월"": {
        ""영업시간"": ""17:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)17:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:00""
    },
    ""수"": {
        ""영업시간"": ""17:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:00""
    },
    ""목"": {
        ""영업시간"": ""17:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:00""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:00""
    },
    ""토"": {
        ""영업시간"": ""17:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:00""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
9iJ4x7Bbha9U,후와후와 현대백화점 디큐브시티점,"서울특별시 구로구 경인로 662 현대백화점 디큐브시티 5층 지번
지도보기",02-2210-9551,"유즈콜라비냉소바 카츠세트: 15,000원
수제 경양식 카츠: 13,900원
후와후와 플래터: 9,900원
스테미너 장어 솥밥: 21,000원
미소항정살 솥밥: 13,900원
우삼겹 들기름 타레 소바: 12,500원
유즈콜라비냉소바: 10,000원
연어스테이크 솥밥: 16,000원
톳 가리비 솥밥: 14,000원
규메시(소고기덮밥): 12,000원
김치 가츠나베 우동: 14,800원
유즈콜라비냉소바 카츠세트: 15,000원
수제 경양식 카츠: 13,900원
후와후와 플래터: 9,900원
스테미너 장어 솥밥: 21,000원
미소항정살 솥밥: 13,900원
우삼겹 들기름 타레 소바: 12,500원
유즈콜라비냉소바: 10,000원
연어스테이크 솥밥: 16,000원
톳 가리비 솥밥: 14,000원
규메시(소고기덮밥): 12,000원
김치 가츠나베 우동: 14,800원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:30""
    }
}"
hxomymEGpdja,동경주방,"서울특별시 구로구 새말로 97 신도림테크노마트 지하1층 지번
지도보기",,"직화야끼니꾸정식: 5,900원
낫또정식: 5,000원
에비커리: 5,900원
직화야끼니꾸정식: 5,900원
낫또정식: 5,000원
에비커리: 5,900원","{
    ""월"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)영업시간 확인 필요"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
pgHurZ7ObWNx,이다삐루,"서울특별시 구로구 디지털로32나길 27-8 1층102호 지번
지도보기",010-9890-2429,"오코노미야끼: 15,000원
야키토리 5종: 17,000원
쿠시카츠6종: 17,000원
모듬오뎅: 18,000원
밀푀유나베: 29,000원
오코노미야끼: 15,000원
야키토리 5종: 17,000원
쿠시카츠6종: 17,000원
모듬오뎅: 18,000원
밀푀유나베: 29,000원","{
    ""월"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""01:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""01:00""
    },
    ""수"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""01:00""
    },
    ""목"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""01:00""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""01:00""
    },
    ""토"": {
        ""영업시간"": ""17:00 - 02:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""01:00""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
TUI2O2KQjlJ0,유미카츠 구로점,"서울특별시 구로구 경인로 618 1층 102호 유미카츠 구로점 지번
지도보기",02-2676-7773,"유미카츠: 9,900원
유미히레카츠: 12,000원
유미우동(+돈카츠 2P): 8,500원
유미소바(+돈카츠 2P): 8,500원
유미쫄면: 8,000원
카레우동: 9,500원
유미떡볶이: 6,500원
토마호크카츠: 15,500원
치즈카츠: 12,500원
유미돈쫄: 12,000원
김치나베: 11,500원
왕돈까스: 12,000원
로제파스타카츠: 13,000원
떡볶카츠: 12,000원
카츠카레: 11,000원
유미카츠: 9,900원
유미히레카츠: 12,000원
유미우동(+돈카츠 2P): 8,500원
유미소바(+돈카츠 2P): 8,500원
유미쫄면: 8,000원
카레우동: 9,500원
유미떡볶이: 6,500원
토마호크카츠: 15,500원
치즈카츠: 12,500원
유미돈쫄: 12,000원
김치나베: 11,500원
왕돈까스: 12,000원
로제파스타카츠: 13,000원
떡볶카츠: 12,000원
카츠카레: 11,000원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 21:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""20:30""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 21:00"",
        ""브레이크타임"": ""15:30 - 17:00"",
        ""라스트오더"": ""20:30""
    }
}"
yG4BvuBqyqS3,동경규동 신도림점,"서울특별시 구로구 새말로 102 신도림포스빌 상가 1층 127호 동경규동 신도림점 지번
지도보기",0507-1390-2832,"[깔끔 담백] 규동 정식: 13,000원
[불향 가득] 매운야끼규 정식: 13,500원
[중독성 끝판] 김치가츠나베 정식: 13,500원
[수비드 숙성] 등심돈가츠 정식: 12,000원
[촉촉 바삭] 타마고 에비텐동: 9,900원
[Real JMT] 오코노미규타마동: 8,900원
[정통 일본식] 등심 가츠카레: 8,900원
[단짠 매콤] 부타동: 7,800원
[현지맛 그대로] 규동: 7,500원
[현지맛 그대로] 가츠동: 8,200원
[인기 만점] 등심 치즈김치가츠동: 9,500원
[여름 한정] 냉모밀돈카츠 정식: 13,500원
[여름 한정] 냉모밀야끼규 정식: 13,000원
[깔끔 담백] 규동 정식: 13,000원
[불향 가득] 매운야끼규 정식: 13,500원
[중독성 끝판] 김치가츠나베 정식: 13,500원
[수비드 숙성] 등심돈가츠 정식: 12,000원
[촉촉 바삭] 타마고 에비텐동: 9,900원
[Real JMT] 오코노미규타마동: 8,900원
[정통 일본식] 등심 가츠카레: 8,900원
[단짠 매콤] 부타동: 7,800원
[현지맛 그대로] 규동: 7,500원
[현지맛 그대로] 가츠동: 8,200원
[인기 만점] 등심 치즈김치가츠동: 9,500원
[여름 한정] 냉모밀돈카츠 정식: 13,500원
[여름 한정] 냉모밀야끼규 정식: 13,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    }
}"
