RID,이름,주소,전화번호,메뉴,영업시간
WEzJxidqasPe,스시히또,"서울특별시 금천구 벚꽃로 286 리더스타워 지하1층 114호 지번
지도보기",02-838-0105,"오마카세 C: 90,000원
오마카세 D: 120,000원
[단품] 도미대가리(조림): 35,000원
[단품] 후토마끼: 30,000원
[단품] 모듬튀김: 30,000원
카이센동: 30,000원
특선스시: 30,000원
히또스시: 22,000원
오마카세 A (런치): 40,000원
스시히또정식(런치): 25,000원
커플세트(런치): 40,000원
사케동(런치): 15,000원
오마카세 B: 60,000원
[단품] 오늘의 사시미 (특): 90,000원
[단품] 오늘의 사시미(모듬): 50,000원
[단품] 오늘의 숙회: 35,000원
[단품] 우x단한판: 50,000원
[단품] 전복모듬: 40,000원
[단품] 연어사시미: 40,000원
[단품] 참치 타다끼: 35,000원
오마카세 C: 90,000원
오마카세 D: 120,000원
[단품] 도미대가리(조림): 35,000원
[단품] 후토마끼: 30,000원
[단품] 모듬튀김: 30,000원
카이센동: 30,000원
특선스시: 30,000원
히또스시: 22,000원
오마카세 A (런치): 40,000원
스시히또정식(런치): 25,000원
커플세트(런치): 40,000원
사케동(런치): 15,000원
오마카세 B: 60,000원
[단품] 오늘의 사시미 (특): 90,000원
[단품] 오늘의 사시미(모듬): 50,000원
[단품] 오늘의 숙회: 35,000원
[단품] 우x단한판: 50,000원
[단품] 전복모듬: 40,000원
[단품] 연어사시미: 40,000원
[단품] 참치 타다끼: 35,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:30"",
        ""라스트오더"": ""20:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:30"",
        ""라스트오더"": ""20:00""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:30"",
        ""라스트오더"": ""20:00""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:30"",
        ""라스트오더"": ""20:00""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
V1zAtP8EK1ce,신선도,"서울특별시 금천구 디지털로9길 32 지하 102호, 103호 지번
지도보기",070-8119-8598,"신: 80,000원
선: 55,000원
VIP: 100,000원
도: 38,000원
신: 80,000원
선: 55,000원
VIP: 100,000원
도: 38,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
HgqXiiGwONim,코코로식당,"서울특별시 금천구 벚꽃로38길 32-25 2층 지번
지도보기",0507-1356-4668,"안심카츠 카레: 12,000원
냉모밀: 9,000원
카츠에비후라이카레: 14,000원
가라아게동: 9,000원
안심믹스카츠: 14,000원
치즈카츠: 13,000원
코코로카츠: 15,000원
스페셜카츠: 14,000원
등심카츠 카레: 12,000원
등심카츠동: 10,000원
믹스후라이동: 12,000원
등심카츠: 10,000원
안심카츠: 12,000원
안심카츠동: 10,000원
얼큰카츠나베: 10,000원
카츠나베: 10,000원
에비후라이동: 9,000원
스페셜카레: 15,000원
에비후라이카레: 10,000원
안심카츠 카레: 12,000원
냉모밀: 9,000원
카츠에비후라이카레: 14,000원
가라아게동: 9,000원
안심믹스카츠: 14,000원
치즈카츠: 13,000원
코코로카츠: 15,000원
스페셜카츠: 14,000원
등심카츠 카레: 12,000원
등심카츠동: 10,000원
믹스후라이동: 12,000원
등심카츠: 10,000원
안심카츠: 12,000원
안심카츠동: 10,000원
얼큰카츠나베: 10,000원
카츠나베: 10,000원
에비후라이동: 9,000원
스페셜카레: 15,000원
에비후라이카레: 10,000원","{
    ""월"": {
        ""영업시간"": ""11:10 - 23:00"",
        ""브레이크타임"": ""14:10 - 17:30"",
        ""라스트오더"": ""22:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:10 - 23:00"",
        ""브레이크타임"": ""14:10 - 17:30"",
        ""라스트오더"": ""22:00""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""11:10 - 23:00"",
        ""브레이크타임"": ""14:10 - 17:30"",
        ""라스트오더"": ""22:00""
    },
    ""금"": {
        ""영업시간"": ""11:10 - 23:00"",
        ""브레이크타임"": ""14:10 - 17:30"",
        ""라스트오더"": ""22:00""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
kplpdRTlDHYI,민소푸,"서울특별시 금천구 가산디지털2로 166 1층 지번
지도보기",0507-1333-7371,"카이센동: 16,000원
마구로 후토마끼: 11,000원
새우 & 아나고 튀김: 19,000원
우나기동: 38,000원
바지락 탕: 20,000원
화로 치즈 카니미소: 9,000원
레몬생크림 토마토츠케모노: 6,000원
우니 카이센동: 23,000원
부타노가쿠니동: 9,000원
칠리가라아게동: 9,000원
사케동: 15,000원
들기름 연어알 소바: 12,000원
우니 동: 37,000원
우니삼합: 36,000원
홍게살내장크림파스타: 19,000원
카이센동: 16,000원
마구로 후토마끼: 11,000원
새우 & 아나고 튀김: 19,000원
우나기동: 38,000원
바지락 탕: 20,000원
화로 치즈 카니미소: 9,000원
레몬생크림 토마토츠케모노: 6,000원
우니 카이센동: 23,000원
부타노가쿠니동: 9,000원
칠리가라아게동: 9,000원
사케동: 15,000원
들기름 연어알 소바: 12,000원
우니 동: 37,000원
우니삼합: 36,000원
홍게살내장크림파스타: 19,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""14:00, 21:00""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
ZvRa2pQ3ZZob,고조,"서울특별시 금천구 가산디지털2로 101 B동 2층 202호 지번
지도보기",0507-1436-8300,"한우 모츠나베: 34,000원
한우 스끼야끼: 34,000원
가라아게 카레: 12,000원
돈가츠 카레: 12,000원
아롱사태 영양나베: 34,000원
치즈 오꼬노미야끼: 20,000원
해물 오꼬노미야끼: 19,000원
야끼소바: 19,000원
연어&육회: 38,000원
한우 육회(150g): 21,000원
탱글숙성 생연어: 25,000원
스테미나 장어구이: 26,000원
반반 한우사케동: 15,500원
쭈규 대판 볶음: 18,000원
홍고추 깐풍 가라아게: 22,000원
수제 가라아게: 17,000원
문어 가라아게: 16,000원
테바사키: 15,000원
스파이시 치킨윙: 16,000원
생연어 카프레제 샐러드: 17,000원
명란구이: 15,000원
타코와사비: 13,000원
오이 탕탕이: 7,000원
반반 한우 장어동: 16,900원
매콤미츠 교자: 8,000원
카레고로케(5ea): 9,000원
아게다시도후(도미살두부튀김): 8,000원
새우튀김(4ea): 5,000원
신선 한우 육회동: 15,000원
규동: 12,000원
사케동: 15,000원
우나기동: 15,000원
에비 카레: 12,000원
한우스테키동: 15,000원
쭈규동: 13,000원
아롱사태 해장나베: 15,000원
한우 대창 나베: 14,000원
해장 김치나베: 13,000원
규 카레: 12,000원
한우 모츠나베: 34,000원
한우 스끼야끼: 34,000원
가라아게 카레: 12,000원
돈가츠 카레: 12,000원
아롱사태 영양나베: 34,000원
치즈 오꼬노미야끼: 20,000원
해물 오꼬노미야끼: 19,000원
야끼소바: 19,000원
연어&육회: 38,000원
한우 육회(150g): 21,000원
탱글숙성 생연어: 25,000원
스테미나 장어구이: 26,000원
반반 한우사케동: 15,500원
쭈규 대판 볶음: 18,000원
홍고추 깐풍 가라아게: 22,000원
수제 가라아게: 17,000원
문어 가라아게: 16,000원
테바사키: 15,000원
스파이시 치킨윙: 16,000원
생연어 카프레제 샐러드: 17,000원
명란구이: 15,000원
타코와사비: 13,000원
오이 탕탕이: 7,000원
반반 한우 장어동: 16,900원
매콤미츠 교자: 8,000원
카레고로케(5ea): 9,000원
아게다시도후(도미살두부튀김): 8,000원
새우튀김(4ea): 5,000원
신선 한우 육회동: 15,000원
규동: 12,000원
사케동: 15,000원
우나기동: 15,000원
에비 카레: 12,000원
한우스테키동: 15,000원
쭈규동: 13,000원
아롱사태 해장나베: 15,000원
한우 대창 나베: 14,000원
해장 김치나베: 13,000원
규 카레: 12,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 22:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
ZHfQMu1C5kuG,코미오,"서울특별시 금천구 가산디지털2로 142-13 1층 지번
지도보기",0507-1438-8926,"[저녁]니꾸set: 43,800원
[저녁]호르몬구이: 32,800원
[저녁]마늘밥: 2,900원
레몬하이볼: 4,900원
[저녁]네기시오우설: 19,900원
중화라멘: 9,900원
매운라멘[オロチョン]: 9,900원
마제소바: 9,900원
[저녁]치킨난반: 14,800원
[저녁]마파두부차항: 10,800원
[저녁]새우완탕: 8,800원
[저녁]마라교자: 4,900원
[저녁]니꾸set: 43,800원
[저녁]호르몬구이: 32,800원
[저녁]마늘밥: 2,900원
레몬하이볼: 4,900원
[저녁]네기시오우설: 19,900원
중화라멘: 9,900원
매운라멘[オロチョン]: 9,900원
마제소바: 9,900원
[저녁]치킨난반: 14,800원
[저녁]마파두부차항: 10,800원
[저녁]새우완탕: 8,800원
[저녁]마라교자: 4,900원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 22:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""수"": {
        ""영업시간"": ""13:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 22:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""토"": {
        ""영업시간"": ""13:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""13:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    }
}"
MpVT1ECnuSB0,이자카야 명호,"서울특별시 금천구 시흥대로 291 1층 173호 지번
지도보기",0507-1324-8614,"모듬사시미 24p: 37,000원
2인용 사시미 16p: 30,000원
치킨 가라아게: 9,000원
우삼겹 스키야끼: 12,000원
우삼겹 떡볶이: 9,000원
우삼겹 마라나베: 14,000원
흑임자참깨오이타다끼: 8,000원
고등어초회12p: 18,000원
해물미나리전: 11,000원
소금 아이스크림: 6,000원
크로플 아이스크림: 8,000원
게살내장크림리조또: 12,000원
광어 우니 감태마끼와 안키모6p: 20,000원
카니미소(게딱지장 구이): 10,000원
단새우 사시미12p: 26,000원
1인용 사시미 8p: 16,000원
흰살생선 우스츠쿠리와 고노와다 6p: 13,000원
스나기모(타래or양념)1p: 2,000원
카와(타래) 1p: 2,000원
난꼬츠 1p: 2,000원
하츠1p: 2,000원
토리1p: 2,500원
네기마1p: 2,500원
아나고 튀김: 13,000원
당고2p: 5,000원
은행 1p: 1,000원
타코와사비: 10,000원
우동사리: 2,000원
복어 몸통지리: 10,000원
아게다시도후: 7,000원
유린기: 10,000원
모듬 꼬치5p: 11,000원
칠리새우 8p: 10,000원
알탕: 12,000원
모찌리도후: 8,000원
중화면 사리: 2,000원
크림새우8p: 10,000원
시샤모구이5p: 10,000원
오뎅탕(기본or얼큰): 11,000원
명란크림우동: 10,000원
오코노미야끼: 9,000원
우삼겹 숙주볶음: 10,000원
우니: 20,000원
얼큰해물나베: 11,000원
나가사키 짬뽕탕: 11,000원
메로구이 (간장or소금): 15,000원
오이 명란구이: 9,000원
돈목살 누룽지 칠리 탕수육: 10,000원
치즈명란감자전: 10,000원
해물 야끼 볶음면: 10,000원
매운 해물 우삼겹 짬뽕탕: 12,000원
모듬사시미 24p: 37,000원
2인용 사시미 16p: 30,000원
치킨 가라아게: 9,000원
우삼겹 스키야끼: 12,000원
우삼겹 떡볶이: 9,000원
우삼겹 마라나베: 14,000원
흑임자참깨오이타다끼: 8,000원
고등어초회12p: 18,000원
해물미나리전: 11,000원
소금 아이스크림: 6,000원
크로플 아이스크림: 8,000원
게살내장크림리조또: 12,000원
광어 우니 감태마끼와 안키모6p: 20,000원
카니미소(게딱지장 구이): 10,000원
단새우 사시미12p: 26,000원
1인용 사시미 8p: 16,000원
흰살생선 우스츠쿠리와 고노와다 6p: 13,000원
스나기모(타래or양념)1p: 2,000원
카와(타래) 1p: 2,000원
난꼬츠 1p: 2,000원
하츠1p: 2,000원
토리1p: 2,500원
네기마1p: 2,500원
아나고 튀김: 13,000원
당고2p: 5,000원
은행 1p: 1,000원
타코와사비: 10,000원
우동사리: 2,000원
복어 몸통지리: 10,000원
아게다시도후: 7,000원
유린기: 10,000원
모듬 꼬치5p: 11,000원
칠리새우 8p: 10,000원
알탕: 12,000원
모찌리도후: 8,000원
중화면 사리: 2,000원
크림새우8p: 10,000원
시샤모구이5p: 10,000원
오뎅탕(기본or얼큰): 11,000원
명란크림우동: 10,000원
오코노미야끼: 9,000원
우삼겹 숙주볶음: 10,000원
우니: 20,000원
얼큰해물나베: 11,000원
나가사키 짬뽕탕: 11,000원
메로구이 (간장or소금): 15,000원
오이 명란구이: 9,000원
돈목살 누룽지 칠리 탕수육: 10,000원
치즈명란감자전: 10,000원
해물 야끼 볶음면: 10,000원
매운 해물 우삼겹 짬뽕탕: 12,000원","{
    ""월"": {
        ""영업시간"": ""17:00 - 03:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""02:00""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)17:00 - 03:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""02:00""
    },
    ""수"": {
        ""영업시간"": ""10:00 - 20:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""17:00 - 03:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""02:00""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 03:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""02:00""
    },
    ""토"": {
        ""영업시간"": ""17:00 - 03:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""02:00""
    },
    ""일"": {
        ""영업시간"": ""17:00 - 03:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""02:00""
    }
}"
0jJBJbu5OHGE,스시쥬베이,"서울특별시 금천구 가산로 147 지번
지도보기",02-851-2477,"Dinner 스페셜초밥: 23,000원
런치모듬초밥(10개): 13,000원
와규스테이크초밥: 22,000원
장새우초밥: 21,000원
참치뱃살초밥: 30,000원
반반초밥 광어(5pcs)+연어(5pcs): 21,000원
스테이크(5pcs)+광어(pcs): 22,000원
연어(5pcs)+스테이크(5pcs): 22,000원
광어(5pcs)+장새우(5pcs): 21,000원
짠새우계란유부초밥(10pcs): 13,000원
스시코스 1인: 40,000원
사시미코스 1인: 50,000원
특선모듬초밥(12개): 19,000원
쥬베이코스 1인: 60,000원
모둠사시미: 45000~85000
참치사시미: 75,000원
生연어회: 38,000원
도미머리구이: 25,000원
연어머리구이: 22,000원
메로소금구이: 30,000원
회무침: 20,000원
간사이오뎅탕: 15,000원
새우튀김: 12,000원
스페셜초밥: 23,000원
고로케: 10,000원
우동or모밀: 12,000원
생대구탕: 15,000원
알탕: 13,000원
회덮밥: 13,000원
광어초밥: 21,000원
연어초밥: 21,000원
Dinner 스페셜초밥: 23,000원
런치모듬초밥(10개): 13,000원
와규스테이크초밥: 22,000원
장새우초밥: 21,000원
참치뱃살초밥: 30,000원
반반초밥 광어(5pcs)+연어(5pcs): 21,000원
스테이크(5pcs)+광어(pcs): 22,000원
연어(5pcs)+스테이크(5pcs): 22,000원
광어(5pcs)+장새우(5pcs): 21,000원
짠새우계란유부초밥(10pcs): 13,000원
스시코스 1인: 40,000원
사시미코스 1인: 50,000원
특선모듬초밥(12개): 19,000원
쥬베이코스 1인: 60,000원
모둠사시미: 45000~85000
참치사시미: 75,000원
生연어회: 38,000원
도미머리구이: 25,000원
연어머리구이: 22,000원
메로소금구이: 30,000원
회무침: 20,000원
간사이오뎅탕: 15,000원
새우튀김: 12,000원
스페셜초밥: 23,000원
고로케: 10,000원
우동or모밀: 12,000원
생대구탕: 15,000원
알탕: 13,000원
회덮밥: 13,000원
광어초밥: 21,000원
연어초밥: 21,000원","{
    ""월"": {
        ""영업시간"": ""11:10 - 22:30"",
        ""브레이크타임"": ""14:00 - 16:40"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:10 - 22:30"",
        ""브레이크타임"": ""14:00 - 16:40"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:10 - 22:30"",
        ""브레이크타임"": ""14:00 - 16:40"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""11:10 - 22:30"",
        ""브레이크타임"": ""14:00 - 16:40"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:10 - 22:30"",
        ""브레이크타임"": ""14:00 - 16:40"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 22:40"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
pVGJZcWpQUu8,코야키친,"서울특별시 금천구 시흥대로 399 118 지번
지도보기",010-2894-8208,"사시미.생선구이. 기타 단품: 30,000원
사시미.생선구이. 기타 단품: 30,000원","{
    ""월"": {
        ""영업시간"": ""18:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)18:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""18:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""금"": {
        ""영업시간"": ""18:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""토"": {
        ""영업시간"": ""18:00 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:20""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
BtVHm0ZvSQdd,오늘돈카츠,"서울특별시 금천구 가산디지털1로 171 가산SKV1센터 1층 103호 지번
지도보기",0507-1384-8907,"등심돈카츠: 10,000원
안심돈카츠: 12,000원
치즈돈카츠: 12,000원
카레돈카츠: 12,000원
카레추가: 2,000원
탄산음료: 2,000원
등심돈카츠: 10,000원
안심돈카츠: 12,000원
치즈돈카츠: 12,000원
카레돈카츠: 12,000원
카레추가: 2,000원
탄산음료: 2,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""화"": {
        ""영업시간"": ""[오늘] 12.24 (화)11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 15:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""14:30""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
